 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
51.00    52.00    52.00     -5.000E+00     8.909E-04     8.169E-05     1.486E-28      2.725E-01      2.425E-01        4.850E-01       5.533E-05      1.489E+03
52.00    53.00    53.00     -5.000E+00     1.031E-03     7.864E-05     2.571E-28      2.728E-01      2.424E-01        4.848E-01       5.952E-05      1.322E+03
53.00    54.00    54.00     -5.000E+00     1.160E-03     7.575E-05     4.404E-28      2.733E-01      2.422E-01        4.844E-01       6.416E-05      1.171E+03
54.00    55.00    55.00     -5.000E+00     1.276E-03     7.302E-05     7.545E-28      2.740E-01      2.420E-01        4.839E-01       6.937E-05      1.033E+03
55.00    56.00    56.00     -5.000E+00     1.377E-03     7.043E-05     1.280E-27      2.752E-01      2.416E-01        4.832E-01       7.539E-05      9.072E+02
56.00    57.00    57.00     -5.000E+00     1.456E-03     6.798E-05     2.180E-27      2.769E-01      2.410E-01        4.820E-01       8.256E-05      7.902E+02
57.00    58.00    58.00     -5.000E+00     1.506E-03     6.565E-05     3.761E-27      2.797E-01      2.401E-01        4.802E-01       9.150E-05      6.798E+02
58.00    59.00    59.00     -5.000E+00     1.511E-03     6.344E-05     6.677E-27      2.842E-01      2.386E-01        4.772E-01       1.034E-04      5.735E+02
59.00    60.00    60.00     -5.000E+00     1.446E-03     6.134E-05     1.259E-26      2.922E-01      2.359E-01        4.717E-01       1.208E-04      4.674E+02
60.00    61.00    61.00     -5.000E+00     1.251E-03     5.935E-05     2.705E-26      3.099E-01      2.300E-01        4.599E-01       1.514E-04      3.551E+02
61.00    62.00    62.00     -5.000E+00     7.667E-04     5.745E-05     8.845E-26      3.752E-01      2.082E-01        4.163E-01       2.354E-04      2.173E+02
62.00    63.00    63.00     -5.000E+00     6.307E-05     5.563E-05     2.436E-24      9.990E-01      0.000E+00        0.000E+00       8.915E-04      4.520E+01
63.00    64.00    64.00     -5.000E+00     4.125E-07     5.391E-05     1.456E-21      0.000E+00      0.000E+00        0.000E+00       8.874E-01      3.780E-02
64.00    65.00    65.00     -5.000E+00     2.632E-06     5.226E-05     1.969E-22      0.000E+00      0.000E+00        0.000E+00       8.728E-01      3.349E-02
65.00    66.00    66.00     -5.000E+00     6.706E-06     5.069E-05     8.507E-23      0.000E+00      0.000E+00        0.000E+00       8.591E-01      3.023E-02
66.00    67.00    67.00     -5.000E+00     1.259E-05     4.918E-05     5.175E-23      0.000E+00      0.000E+00        0.000E+00       8.458E-01      2.761E-02
67.00    68.00    68.00     -5.000E+00     2.006E-05     4.775E-05     3.721E-23      0.000E+00      0.000E+00        0.000E+00       8.326E-01      2.543E-02
68.00    69.00    69.00     -5.000E+00     2.872E-05     4.637E-05     2.954E-23      0.000E+00      0.000E+00        0.000E+00       8.194E-01      2.357E-02
69.00    70.00    70.00     -5.000E+00     3.806E-05     4.505E-05     2.508E-23      0.000E+00      0.000E+00        0.000E+00       8.062E-01      2.197E-02
70.00    71.00    71.00     -5.000E+00     4.758E-05     4.379E-05     2.247E-23      0.000E+00      0.000E+00        0.000E+00       7.930E-01      2.057E-02
71.00    72.00    72.00     -5.000E+00     5.680E-05     4.258E-05     2.082E-23      0.000E+00      0.000E+00        0.000E+00       7.798E-01      1.933E-02
72.00    73.00    73.00     -5.000E+00     6.538E-05     4.142E-05     1.991E-23      0.000E+00      0.000E+00        0.000E+00       7.665E-01      1.823E-02
73.00    74.00    74.00     -5.000E+00     7.305E-05     4.031E-05     1.963E-23      0.000E+00      0.000E+00        0.000E+00       7.531E-01      1.725E-02
74.00    75.00    75.00     -5.000E+00     7.960E-05     3.924E-05     1.988E-23      0.000E+00      0.000E+00        0.000E+00       7.398E-01      1.636E-02
75.00    76.00    76.00     -5.000E+00     8.478E-05     3.822E-05     2.073E-23      0.000E+00      0.000E+00        0.000E+00       7.264E-01      1.556E-02
76.00    77.00    77.00     -5.000E+00     8.811E-05     3.723E-05     2.237E-23      0.000E+00      0.000E+00        0.000E+00       7.130E-01      1.483E-02
77.00    78.00    78.00     -5.000E+00     8.849E-05     3.628E-05     2.535E-23      0.000E+00      0.000E+00        0.000E+00       6.996E-01      1.417E-02
78.00    79.00    79.00     -5.000E+00     8.413E-05     3.537E-05     3.019E-23      0.000E+00      0.000E+00        0.000E+00       6.862E-01      1.357E-02
79.00    80.00    80.00     -5.000E+00     7.377E-05     3.449E-05     3.845E-23      0.000E+00      0.000E+00        0.000E+00       6.728E-01      1.301E-02
80.00    81.00    81.00     -5.000E+00     6.177E-05     3.364E-05     5.541E-23      0.000E+00      0.000E+00        0.000E+00       6.595E-01      1.250E-02
81.00    82.00    82.00     -5.000E+00     5.386E-05     3.282E-05     8.394E-23      0.000E+00      0.000E+00        0.000E+00       6.462E-01      1.204E-02
82.00    83.00    83.00     -5.000E+00     4.986E-05     3.204E-05     1.080E-22      0.000E+00      0.000E+00        0.000E+00       6.331E-01      1.160E-02
83.00    84.00    84.00     -5.000E+00     4.814E-05     3.128E-05     1.220E-22      0.000E+00      0.000E+00        0.000E+00       6.199E-01      1.120E-02
84.00    85.00    85.00     -5.000E+00     4.762E-05     3.055E-05     1.302E-22      0.000E+00      0.000E+00        0.000E+00       6.069E-01      1.083E-02
85.00    86.00    86.00     -5.000E+00     4.850E-05     2.984E-05     1.400E-22      0.000E+00      0.000E+00        0.000E+00       5.940E-01      1.049E-02
86.00    87.00    87.00     -5.000E+00     4.917E-05     2.916E-05     1.401E-22      0.000E+00      0.000E+00        0.000E+00       5.812E-01      1.017E-02
87.00    88.00    88.00     -5.000E+00     5.000E-05     2.850E-05     1.385E-22      0.000E+00      0.000E+00        0.000E+00       5.686E-01      9.869E-03
88.00    89.00    89.00     -5.000E+00     5.079E-05     2.786E-05     1.358E-22      0.000E+00      0.000E+00        0.000E+00       5.561E-01      9.591E-03
89.00    90.00    90.00     -5.000E+00     5.134E-05     2.724E-05     1.322E-22      0.000E+00      0.000E+00        0.000E+00       5.437E-01      9.332E-03
90.00    91.00    91.00     -5.000E+00     5.124E-05     2.665E-05     1.281E-22      0.000E+00      0.000E+00        0.000E+00       5.315E-01      9.089E-03
91.00    92.00    92.00     -5.000E+00     5.081E-05     2.607E-05     1.239E-22      0.000E+00      0.000E+00        0.000E+00       5.195E-01      8.861E-03
92.00    93.00    93.00     -5.000E+00     5.058E-05     2.551E-05     1.208E-22      0.000E+00      0.000E+00        0.000E+00       5.077E-01      8.648E-03
93.00    94.00    94.00     -5.000E+00     5.076E-05     2.497E-05     1.181E-22      0.000E+00      0.000E+00        0.000E+00       4.960E-01      8.448E-03
94.00    95.00    95.00     -5.000E+00     5.126E-05     2.445E-05     1.151E-22      0.000E+00      0.000E+00        0.000E+00       4.845E-01      8.260E-03
95.00    96.00    96.00     -5.000E+00     5.197E-05     2.394E-05     1.124E-22      0.000E+00      0.000E+00        0.000E+00       4.733E-01      8.083E-03
96.00    97.00    97.00     -5.000E+00     5.280E-05     2.345E-05     1.109E-22      0.000E+00      0.000E+00        0.000E+00       4.622E-01      7.917E-03
97.00    98.00    98.00     -5.000E+00     5.391E-05     2.298E-05     1.088E-22      0.000E+00      0.000E+00        0.000E+00       4.513E-01      7.760E-03
98.00    99.00    99.00     -5.000E+00     5.479E-05     2.251E-05     1.061E-22      0.000E+00      0.000E+00        0.000E+00       4.406E-01      7.612E-03
99.00    100.00    100.00     -5.000E+00     5.552E-05     2.207E-05     1.034E-22      0.000E+00      0.000E+00        0.000E+00       4.302E-01      7.472E-03
100.00    101.00    101.00     -5.000E+00     5.593E-05     2.163E-05     1.007E-22      0.000E+00      0.000E+00        0.000E+00       4.199E-01      7.340E-03
101.00    102.00    102.00     -5.000E+00     5.591E-05     2.121E-05     9.819E-23      0.000E+00      0.000E+00        0.000E+00       4.099E-01      7.215E-03
102.00    103.00    103.00     -5.000E+00     5.546E-05     2.080E-05     9.571E-23      0.000E+00      0.000E+00        0.000E+00       4.000E-01      7.097E-03
103.00    104.00    104.00     -5.000E+00     5.487E-05     2.040E-05     9.327E-23      0.000E+00      0.000E+00        0.000E+00       3.904E-01      6.985E-03
104.00    105.00    105.00     -5.000E+00     5.426E-05     2.001E-05     9.086E-23      0.000E+00      0.000E+00        0.000E+00       3.810E-01      6.878E-03
105.00    106.00    106.00     -5.000E+00     5.362E-05     1.964E-05     8.857E-23      0.000E+00      0.000E+00        0.000E+00       3.718E-01      6.778E-03
106.00    107.00    107.00     -5.000E+00     5.294E-05     1.927E-05     8.642E-23      0.000E+00      0.000E+00        0.000E+00       3.628E-01      6.682E-03
107.00    108.00    108.00     -5.000E+00     5.222E-05     1.892E-05     8.438E-23      0.000E+00      0.000E+00        0.000E+00       3.540E-01      6.591E-03
108.00    109.00    109.00     -5.000E+00     5.152E-05     1.857E-05     8.243E-23      0.000E+00      0.000E+00        0.000E+00       3.455E-01      6.505E-03
109.00    110.00    110.00     -5.000E+00     5.090E-05     1.823E-05     8.057E-23      0.000E+00      0.000E+00        0.000E+00       3.371E-01      6.423E-03
110.00    111.00    111.00     -5.000E+00     5.037E-05     1.791E-05     7.876E-23      0.000E+00      0.000E+00        0.000E+00       3.289E-01      6.345E-03
