 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
51.00    52.00    52.00     5.000E+00     8.918E-04     8.169E-05     1.460E-28      2.730E-01      2.423E-01        4.846E-01       5.321E-05      1.486E+03
52.00    53.00    53.00     5.000E+00     1.032E-03     7.864E-05     2.530E-28      2.733E-01      2.422E-01        4.844E-01       5.715E-05      1.319E+03
53.00    54.00    54.00     5.000E+00     1.162E-03     7.575E-05     4.341E-28      2.738E-01      2.420E-01        4.841E-01       6.150E-05      1.168E+03
54.00    55.00    55.00     5.000E+00     1.280E-03     7.302E-05     7.451E-28      2.746E-01      2.418E-01        4.835E-01       6.639E-05      1.031E+03
55.00    56.00    56.00     5.000E+00     1.382E-03     7.043E-05     1.267E-27      2.758E-01      2.414E-01        4.828E-01       7.203E-05      9.052E+02
56.00    57.00    57.00     5.000E+00     1.464E-03     6.798E-05     2.161E-27      2.776E-01      2.408E-01        4.816E-01       7.875E-05      7.884E+02
57.00    58.00    58.00     5.000E+00     1.517E-03     6.565E-05     3.736E-27      2.803E-01      2.399E-01        4.797E-01       8.712E-05      6.783E+02
58.00    59.00    59.00     5.000E+00     1.526E-03     6.344E-05     6.648E-27      2.848E-01      2.384E-01        4.767E-01       9.825E-05      5.721E+02
59.00    60.00    60.00     5.000E+00     1.466E-03     6.134E-05     1.256E-26      2.929E-01      2.357E-01        4.713E-01       1.146E-04      4.663E+02
60.00    61.00    61.00     5.000E+00     1.277E-03     5.935E-05     2.706E-26      3.106E-01      2.297E-01        4.595E-01       1.433E-04      3.543E+02
61.00    62.00    62.00     5.000E+00     7.918E-04     5.745E-05     8.864E-26      3.760E-01      2.079E-01        4.158E-01       2.224E-04      2.168E+02
62.00    63.00    63.00     5.000E+00     6.662E-05     5.563E-05     2.437E-24      9.991E-01      0.000E+00        0.000E+00       8.341E-04      4.520E+01
63.00    64.00    64.00     5.000E+00     4.395E-07     5.391E-05     1.459E-21      0.000E+00      0.000E+00        0.000E+00       8.799E-01      3.545E-02
64.00    65.00    65.00     5.000E+00     2.804E-06     5.226E-05     1.978E-22      0.000E+00      0.000E+00        0.000E+00       8.639E-01      3.129E-02
65.00    66.00    66.00     5.000E+00     7.133E-06     5.069E-05     8.563E-23      0.000E+00      0.000E+00        0.000E+00       8.488E-01      2.817E-02
66.00    67.00    67.00     5.000E+00     1.335E-05     4.918E-05     5.229E-23      0.000E+00      0.000E+00        0.000E+00       8.341E-01      2.566E-02
67.00    68.00    68.00     5.000E+00     2.119E-05     4.775E-05     3.770E-23      0.000E+00      0.000E+00        0.000E+00       8.194E-01      2.358E-02
68.00    69.00    69.00     5.000E+00     3.018E-05     4.637E-05     3.003E-23      0.000E+00      0.000E+00        0.000E+00       8.048E-01      2.181E-02
69.00    70.00    70.00     5.000E+00     3.978E-05     4.505E-05     2.558E-23      0.000E+00      0.000E+00        0.000E+00       7.901E-01      2.029E-02
70.00    71.00    71.00     5.000E+00     4.944E-05     4.379E-05     2.298E-23      0.000E+00      0.000E+00        0.000E+00       7.754E-01      1.896E-02
71.00    72.00    72.00     5.000E+00     5.869E-05     4.258E-05     2.137E-23      0.000E+00      0.000E+00        0.000E+00       7.606E-01      1.778E-02
72.00    73.00    73.00     5.000E+00     6.719E-05     4.142E-05     2.050E-23      0.000E+00      0.000E+00        0.000E+00       7.457E-01      1.674E-02
73.00    74.00    74.00     5.000E+00     7.467E-05     4.031E-05     2.028E-23      0.000E+00      0.000E+00        0.000E+00       7.308E-01      1.582E-02
74.00    75.00    75.00     5.000E+00     8.093E-05     3.924E-05     2.062E-23      0.000E+00      0.000E+00        0.000E+00       7.158E-01      1.498E-02
75.00    76.00    76.00     5.000E+00     8.575E-05     3.822E-05     2.157E-23      0.000E+00      0.000E+00        0.000E+00       7.008E-01      1.423E-02
76.00    77.00    77.00     5.000E+00     8.859E-05     3.723E-05     2.336E-23      0.000E+00      0.000E+00        0.000E+00       6.858E-01      1.355E-02
77.00    78.00    78.00     5.000E+00     8.829E-05     3.628E-05     2.657E-23      0.000E+00      0.000E+00        0.000E+00       6.707E-01      1.293E-02
78.00    79.00    79.00     5.000E+00     8.303E-05     3.537E-05     3.176E-23      0.000E+00      0.000E+00        0.000E+00       6.557E-01      1.237E-02
79.00    80.00    80.00     5.000E+00     7.174E-05     3.449E-05     4.074E-23      0.000E+00      0.000E+00        0.000E+00       6.407E-01      1.185E-02
80.00    81.00    81.00     5.000E+00     5.918E-05     3.364E-05     5.932E-23      0.000E+00      0.000E+00        0.000E+00       6.258E-01      1.138E-02
81.00    82.00    82.00     5.000E+00     5.107E-05     3.282E-05     9.103E-23      0.000E+00      0.000E+00        0.000E+00       6.109E-01      1.094E-02
82.00    83.00    83.00     5.000E+00     4.695E-05     3.204E-05     1.173E-22      0.000E+00      0.000E+00        0.000E+00       5.961E-01      1.054E-02
83.00    84.00    84.00     5.000E+00     4.514E-05     3.128E-05     1.337E-22      0.000E+00      0.000E+00        0.000E+00       5.815E-01      1.017E-02
84.00    85.00    85.00     5.000E+00     4.450E-05     3.055E-05     1.431E-22      0.000E+00      0.000E+00        0.000E+00       5.669E-01      9.832E-03
85.00    86.00    86.00     5.000E+00     4.520E-05     2.984E-05     1.548E-22      0.000E+00      0.000E+00        0.000E+00       5.525E-01      9.515E-03
86.00    87.00    87.00     5.000E+00     4.573E-05     2.916E-05     1.552E-22      0.000E+00      0.000E+00        0.000E+00       5.383E-01      9.222E-03
87.00    88.00    88.00     5.000E+00     4.643E-05     2.850E-05     1.537E-22      0.000E+00      0.000E+00        0.000E+00       5.243E-01      8.950E-03
88.00    89.00    89.00     5.000E+00     4.709E-05     2.786E-05     1.508E-22      0.000E+00      0.000E+00        0.000E+00       5.104E-01      8.696E-03
89.00    90.00    90.00     5.000E+00     4.753E-05     2.724E-05     1.470E-22      0.000E+00      0.000E+00        0.000E+00       4.967E-01      8.460E-03
90.00    91.00    91.00     5.000E+00     4.736E-05     2.665E-05     1.425E-22      0.000E+00      0.000E+00        0.000E+00       4.832E-01      8.239E-03
91.00    92.00    92.00     5.000E+00     4.685E-05     2.607E-05     1.378E-22      0.000E+00      0.000E+00        0.000E+00       4.700E-01      8.033E-03
92.00    93.00    93.00     5.000E+00     4.653E-05     2.551E-05     1.345E-22      0.000E+00      0.000E+00        0.000E+00       4.570E-01      7.841E-03
93.00    94.00    94.00     5.000E+00     4.661E-05     2.497E-05     1.314E-22      0.000E+00      0.000E+00        0.000E+00       4.442E-01      7.660E-03
94.00    95.00    95.00     5.000E+00     4.700E-05     2.445E-05     1.283E-22      0.000E+00      0.000E+00        0.000E+00       4.316E-01      7.491E-03
95.00    96.00    96.00     5.000E+00     4.761E-05     2.394E-05     1.252E-22      0.000E+00      0.000E+00        0.000E+00       4.194E-01      7.333E-03
96.00    97.00    97.00     5.000E+00     4.835E-05     2.345E-05     1.238E-22      0.000E+00      0.000E+00        0.000E+00       4.073E-01      7.184E-03
97.00    98.00    98.00     5.000E+00     4.935E-05     2.298E-05     1.214E-22      0.000E+00      0.000E+00        0.000E+00       3.955E-01      7.044E-03
98.00    99.00    99.00     5.000E+00     5.017E-05     2.251E-05     1.183E-22      0.000E+00      0.000E+00        0.000E+00       3.840E-01      6.912E-03
99.00    100.00    100.00     5.000E+00     5.085E-05     2.207E-05     1.153E-22      0.000E+00      0.000E+00        0.000E+00       3.728E-01      6.788E-03
100.00    101.00    101.00     5.000E+00     5.128E-05     2.163E-05     1.123E-22      0.000E+00      0.000E+00        0.000E+00       3.618E-01      6.671E-03
101.00    102.00    102.00     5.000E+00     5.133E-05     2.121E-05     1.094E-22      0.000E+00      0.000E+00        0.000E+00       3.511E-01      6.561E-03
102.00    103.00    103.00     5.000E+00     5.103E-05     2.080E-05     1.066E-22      0.000E+00      0.000E+00        0.000E+00       3.406E-01      6.457E-03
103.00    104.00    104.00     5.000E+00     5.062E-05     2.040E-05     1.038E-22      0.000E+00      0.000E+00        0.000E+00       3.304E-01      6.359E-03
104.00    105.00    105.00     5.000E+00     5.018E-05     2.001E-05     1.010E-22      0.000E+00      0.000E+00        0.000E+00       3.205E-01      6.266E-03
