87     1.8e-25
1.1e+2     2.2e-25
1.2e+2     2.6e-25
1.4e+2     3.1e-25
1.7e+2     3.6e-25
2.1e+2     4.3e-25
2.5e+2     5.2e-25
3.3e+2     6.8e-25
4.3e+2     8.7e-25
5.3e+2     1.1e-24
7.5e+2     1.5e-24
9.9e+2     2.0e-24
1.3e+3     2.6e-24
1.6e+3     3.3e-24
2.0e+3     4.1e-24
2.3e+3     4.9e-24

