 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
51.00    52.00    52.00     -1.000E-03     9.078E-04     3.268E-12     2.506E-28      3.141E-03      5.684E-02        1.137E-01       2.169E-03      5.166E-03
52.00    53.00    53.00     -1.000E-03     1.059E-03     3.146E-12     3.447E-28      2.833E-03      5.276E-02        1.055E-01       2.204E-03      5.089E-03
53.00    54.00    54.00     -1.000E-03     1.206E-03     3.030E-12     4.664E-28      2.551E-03      4.880E-02        9.760E-02       2.238E-03      5.016E-03
54.00    55.00    55.00     -1.000E-03     1.348E-03     2.921E-12     6.195E-28      2.289E-03      4.492E-02        8.983E-02       2.270E-03      4.947E-03
55.00    56.00    56.00     -1.000E-03     1.486E-03     2.817E-12     8.081E-28      2.046E-03      4.107E-02        8.215E-02       2.302E-03      4.880E-03
56.00    57.00    57.00     -1.000E-03     1.620E-03     2.719E-12     1.129E-27      1.818E-03      3.721E-02        7.442E-02       2.334E-03      4.815E-03
57.00    58.00    58.00     -1.000E-03     1.747E-03     2.626E-12     1.397E-27      1.601E-03      3.324E-02        6.648E-02       2.367E-03      4.750E-03
58.00    59.00    59.00     -1.000E-03     1.866E-03     2.538E-12     1.611E-27      1.392E-03      2.905E-02        5.810E-02       2.400E-03      4.684E-03
59.00    60.00    60.00     -1.000E-03     1.966E-03     2.454E-12     1.744E-27      1.185E-03      2.442E-02        4.885E-02       2.437E-03      4.612E-03
60.00    61.00    61.00     -1.000E-03     2.014E-03     2.374E-12     1.668E-27      9.718E-04      1.892E-02        3.784E-02       2.481E-03      4.530E-03
61.00    62.00    62.00     -1.000E-03     1.952E-03     2.298E-12     1.469E-27      7.381E-04      1.103E-02        2.206E-02       2.543E-03      4.418E-03
62.00    63.00    63.00     -1.000E-03     2.295E-03     2.225E-12     1.356E-27      4.229E-04      0.000E+00        0.000E+00       2.596E-03      4.271E-03
63.00    64.00    64.00     -1.000E-03     2.462E-03     2.156E-12     5.685E-27      0.000E+00      0.000E+00        0.000E+00       2.572E-03      4.269E-03
64.00    65.00    65.00     -1.000E-03     2.572E-03     2.090E-12     6.942E-27      0.000E+00      0.000E+00        0.000E+00       2.555E-03      4.269E-03
65.00    66.00    66.00     -1.000E-03     2.680E-03     2.027E-12     8.516E-27      0.000E+00      0.000E+00        0.000E+00       2.542E-03      4.269E-03
66.00    67.00    67.00     -1.000E-03     2.786E-03     1.967E-12     1.042E-26      0.000E+00      0.000E+00        0.000E+00       2.531E-03      4.269E-03
67.00    68.00    68.00     -1.000E-03     2.890E-03     1.910E-12     1.272E-26      0.000E+00      0.000E+00        0.000E+00       2.522E-03      4.268E-03
68.00    69.00    69.00     -1.000E-03     2.993E-03     1.855E-12     1.554E-26      0.000E+00      0.000E+00        0.000E+00       2.514E-03      4.268E-03
69.00    70.00    70.00     -1.000E-03     3.093E-03     1.802E-12     1.901E-26      0.000E+00      0.000E+00        0.000E+00       2.506E-03      4.268E-03
70.00    71.00    71.00     -1.000E-03     3.191E-03     1.752E-12     2.334E-26      0.000E+00      0.000E+00        0.000E+00       2.499E-03      4.268E-03
71.00    72.00    72.00     -1.000E-03     3.286E-03     1.703E-12     2.879E-26      0.000E+00      0.000E+00        0.000E+00       2.493E-03      4.268E-03
72.00    73.00    73.00     -1.000E-03     3.377E-03     1.657E-12     3.580E-26      0.000E+00      0.000E+00        0.000E+00       2.487E-03      4.268E-03
73.00    74.00    74.00     -1.000E-03     3.462E-03     1.612E-12     4.492E-26      0.000E+00      0.000E+00        0.000E+00       2.482E-03      4.268E-03
74.00    75.00    75.00     -1.000E-03     3.537E-03     1.570E-12     5.709E-26      0.000E+00      0.000E+00        0.000E+00       2.477E-03      4.268E-03
75.00    76.00    76.00     -1.000E-03     3.595E-03     1.529E-12     7.395E-26      0.000E+00      0.000E+00        0.000E+00       2.472E-03      4.268E-03
76.00    77.00    77.00     -1.000E-03     3.619E-03     1.489E-12     9.850E-26      0.000E+00      0.000E+00        0.000E+00       2.468E-03      4.268E-03
77.00    78.00    78.00     -1.000E-03     3.568E-03     1.451E-12     1.368E-25      0.000E+00      0.000E+00        0.000E+00       2.463E-03      4.268E-03
78.00    79.00    79.00     -1.000E-03     3.388E-03     1.415E-12     2.016E-25      0.000E+00      0.000E+00        0.000E+00       2.460E-03      4.268E-03
79.00    80.00    80.00     -1.000E-03     3.021E-03     1.380E-12     3.334E-25      0.000E+00      0.000E+00        0.000E+00       2.456E-03      4.268E-03
80.00    81.00    81.00     -1.000E-03     2.573E-03     1.346E-12     6.443E-25      0.000E+00      0.000E+00        0.000E+00       2.452E-03      4.268E-03
81.00    82.00    82.00     -1.000E-03     2.263E-03     1.313E-12     1.257E-24      0.000E+00      0.000E+00        0.000E+00       2.449E-03      4.268E-03
82.00    83.00    83.00     -1.000E-03     2.092E-03     1.282E-12     1.776E-24      0.000E+00      0.000E+00        0.000E+00       2.446E-03      4.268E-03
83.00    84.00    84.00     -1.000E-03     1.999E-03     1.251E-12     2.118E-24      0.000E+00      0.000E+00        0.000E+00       2.443E-03      4.268E-03
84.00    85.00    85.00     -1.000E-03     1.942E-03     1.222E-12     2.370E-24      0.000E+00      0.000E+00        0.000E+00       2.440E-03      4.268E-03
85.00    86.00    86.00     -1.000E-03     1.895E-03     1.194E-12     2.694E-24      0.000E+00      0.000E+00        0.000E+00       2.437E-03      4.268E-03
86.00    87.00    87.00     -1.000E-03     1.875E-03     1.166E-12     2.741E-24      0.000E+00      0.000E+00        0.000E+00       2.434E-03      4.268E-03
87.00    88.00    88.00     -1.000E-03     1.871E-03     1.140E-12     2.744E-24      0.000E+00      0.000E+00        0.000E+00       2.431E-03      4.268E-03
88.00    89.00    89.00     -1.000E-03     1.867E-03     1.114E-12     2.711E-24      0.000E+00      0.000E+00        0.000E+00       2.429E-03      4.268E-03
89.00    90.00    90.00     -1.000E-03     1.855E-03     1.090E-12     2.655E-24      0.000E+00      0.000E+00        0.000E+00       2.427E-03      4.268E-03
90.00    91.00    91.00     -1.000E-03     1.815E-03     1.066E-12     2.565E-24      0.000E+00      0.000E+00        0.000E+00       2.424E-03      4.268E-03
91.00    92.00    92.00     -1.000E-03     1.754E-03     1.043E-12     2.486E-24      0.000E+00      0.000E+00        0.000E+00       2.422E-03      4.268E-03
92.00    93.00    93.00     -1.000E-03     1.700E-03     1.021E-12     2.477E-24      0.000E+00      0.000E+00        0.000E+00       2.420E-03      4.268E-03
93.00    94.00    94.00     -1.000E-03     1.672E-03     9.990E-13     2.471E-24      0.000E+00      0.000E+00        0.000E+00       2.418E-03      4.268E-03
94.00    95.00    95.00     -1.000E-03     1.663E-03     9.780E-13     2.450E-24      0.000E+00      0.000E+00        0.000E+00       2.416E-03      4.268E-03
95.00    96.00    96.00     -1.000E-03     1.666E-03     9.577E-13     2.418E-24      0.000E+00      0.000E+00        0.000E+00       2.414E-03      4.268E-03
96.00    97.00    97.00     -1.000E-03     1.679E-03     9.381E-13     2.478E-24      0.000E+00      0.000E+00        0.000E+00       2.412E-03      4.268E-03
97.00    98.00    98.00     -1.000E-03     1.697E-03     9.190E-13     2.425E-24      0.000E+00      0.000E+00        0.000E+00       2.410E-03      4.268E-03
98.00    99.00    99.00     -1.000E-03     1.723E-03     9.005E-13     2.381E-24      0.000E+00      0.000E+00        0.000E+00       2.408E-03      4.268E-03
99.00    100.00    100.00     -1.000E-03     1.752E-03     8.826E-13     2.335E-24      0.000E+00      0.000E+00        0.000E+00       2.406E-03      4.268E-03
100.00    101.00    101.00     -1.000E-03     1.783E-03     8.652E-13     2.288E-24      0.000E+00      0.000E+00        0.000E+00       2.405E-03      4.268E-03
101.00    102.00    102.00     -1.000E-03     1.816E-03     8.483E-13     2.241E-24      0.000E+00      0.000E+00        0.000E+00       2.403E-03      4.268E-03
102.00    103.00    103.00     -1.000E-03     1.851E-03     8.319E-13     2.193E-24      0.000E+00      0.000E+00        0.000E+00       2.402E-03      4.268E-03
103.00    104.00    104.00     -1.000E-03     1.885E-03     8.160E-13     2.144E-24      0.000E+00      0.000E+00        0.000E+00       2.400E-03      4.268E-03
104.00    105.00    105.00     -1.000E-03     1.920E-03     8.005E-13     2.094E-24      0.000E+00      0.000E+00        0.000E+00       2.399E-03      4.268E-03
105.00    106.00    106.00     -1.000E-03     1.956E-03     7.855E-13     2.046E-24      0.000E+00      0.000E+00        0.000E+00       2.397E-03      4.268E-03
106.00    107.00    107.00     -1.000E-03     1.994E-03     7.708E-13     2.001E-24      0.000E+00      0.000E+00        0.000E+00       2.396E-03      4.268E-03
107.00    108.00    108.00     -1.000E-03     2.033E-03     7.566E-13     1.958E-24      0.000E+00      0.000E+00        0.000E+00       2.394E-03      4.268E-03
108.00    109.00    109.00     -1.000E-03     2.072E-03     7.428E-13     1.917E-24      0.000E+00      0.000E+00        0.000E+00       2.393E-03      4.268E-03
109.00    110.00    110.00     -1.000E-03     2.113E-03     7.294E-13     1.878E-24      0.000E+00      0.000E+00        0.000E+00       2.392E-03      4.268E-03
