 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     -1.000E-02     1.473E-02     7.367E-09     0.000E+00      2.988E-01      2.325E-01        4.650E-01       2.956E-06      9.173E+00
11.00    12.00    12.00     -1.000E-02     1.214E-02     6.185E-09     0.000E+00      2.891E-01      2.353E-01        4.706E-01       3.766E-06      6.424E+00
12.00    13.00    13.00     -1.000E-02     1.043E-02     5.266E-09     0.000E+00      2.806E-01      2.377E-01        4.753E-01       4.771E-06      4.632E+00
13.00    14.00    14.00     -1.000E-02     9.219E-03     4.537E-09     0.000E+00      2.731E-01      2.397E-01        4.794E-01       6.006E-06      3.422E+00
14.00    15.00    15.00     -1.000E-02     8.323E-03     3.950E-09     0.000E+00      2.665E-01      2.415E-01        4.830E-01       7.509E-06      2.581E+00
15.00    16.00    16.00     -1.000E-02     7.627E-03     3.470E-09     0.000E+00      2.604E-01      2.431E-01        4.861E-01       9.327E-06      1.982E+00
16.00    17.00    17.00     -1.000E-02     7.062E-03     3.072E-09     0.000E+00      2.550E-01      2.445E-01        4.890E-01       1.151E-05      1.545E+00
17.00    18.00    18.00     -1.000E-02     6.582E-03     2.739E-09     0.000E+00      2.499E-01      2.458E-01        4.916E-01       1.410E-05      1.221E+00
18.00    19.00    19.00     -1.000E-02     6.156E-03     2.458E-09     0.000E+00      2.452E-01      2.470E-01        4.940E-01       1.717E-05      9.772E-01
19.00    20.00    20.00     -1.000E-02     5.762E-03     2.217E-09     0.000E+00      2.408E-01      2.481E-01        4.962E-01       2.078E-05      7.902E-01
20.00    21.00    21.00     -1.000E-02     5.384E-03     2.011E-09     0.000E+00      2.367E-01      2.491E-01        4.981E-01       2.500E-05      6.452E-01
21.00    22.00    22.00     -1.000E-02     5.010E-03     1.832E-09     0.000E+00      2.327E-01      2.499E-01        4.998E-01       2.990E-05      5.315E-01
22.00    23.00    23.00     -1.000E-02     4.638E-03     1.675E-09     0.000E+00      2.289E-01      2.507E-01        5.013E-01       3.557E-05      4.412E-01
23.00    24.00    24.00     -1.000E-02     4.257E-03     1.538E-09     0.000E+00      2.253E-01      2.513E-01        5.026E-01       4.210E-05      3.690E-01
24.00    25.00    25.00     -1.000E-02     3.868E-03     1.417E-09     0.000E+00      2.217E-01      2.518E-01        5.036E-01       4.959E-05      3.106E-01
25.00    26.00    26.00     -1.000E-02     3.474E-03     1.310E-09     0.000E+00      2.183E-01      2.522E-01        5.044E-01       5.813E-05      2.631E-01
26.00    27.00    27.00     -1.000E-02     3.076E-03     1.215E-09     0.000E+00      2.149E-01      2.525E-01        5.049E-01       6.784E-05      2.241E-01
27.00    28.00    28.00     -1.000E-02     2.681E-03     1.129E-09     0.000E+00      2.115E-01      2.526E-01        5.053E-01       7.884E-05      1.919E-01
28.00    29.00    29.00     -1.000E-02     2.292E-03     1.053E-09     0.000E+00      2.082E-01      2.526E-01        5.053E-01       9.126E-05      1.651E-01
29.00    30.00    30.00     -1.000E-02     1.917E-03     9.835E-10     0.000E+00      2.049E-01      2.525E-01        5.051E-01       1.052E-04      1.427E-01
30.00    31.00    31.00     -1.000E-02     1.562E-03     9.209E-10     0.000E+00      2.016E-01      2.523E-01        5.045E-01       1.209E-04      1.238E-01
31.00    32.00    32.00     -1.000E-02     1.229E-03     8.642E-10     0.000E+00      1.983E-01      2.519E-01        5.037E-01       1.383E-04      1.079E-01
32.00    33.00    33.00     -1.000E-02     9.217E-04     8.125E-10     0.000E+00      1.950E-01      2.513E-01        5.025E-01       1.578E-04      9.444E-02
33.00    34.00    34.00     -1.000E-02     6.453E-04     7.653E-10     2.594E-34      1.917E-01      2.505E-01        5.010E-01       1.793E-04      8.294E-02
34.00    35.00    35.00     -1.000E-02     4.055E-04     7.221E-10     1.629E-33      1.883E-01      2.496E-01        4.991E-01       2.032E-04      7.310E-02
35.00    36.00    36.00     -1.000E-02     2.206E-04     6.825E-10     1.557E-32      1.849E-01      2.484E-01        4.968E-01       2.294E-04      6.464E-02
36.00    37.00    37.00     -1.000E-02     1.051E-04     6.461E-10     7.226E-32      1.814E-01      2.470E-01        4.941E-01       2.582E-04      5.736E-02
37.00    38.00    38.00     -1.000E-02     4.494E-05     6.124E-10     1.615E-31      1.779E-01      2.454E-01        4.909E-01       2.898E-04      5.107E-02
38.00    39.00    39.00     -1.000E-02     2.020E-05     5.814E-10     6.388E-31      1.743E-01      2.436E-01        4.871E-01       3.241E-04      4.561E-02
39.00    40.00    40.00     -1.000E-02     1.545E-05     5.526E-10     1.466E-30      1.705E-01      2.414E-01        4.828E-01       3.613E-04      4.087E-02
40.00    41.00    41.00     -1.000E-02     4.306E-05     5.260E-10     3.475E-30      1.666E-01      2.389E-01        4.778E-01       4.013E-04      3.676E-02
41.00    42.00    42.00     -1.000E-02     8.946E-05     5.012E-10     6.919E-30      1.626E-01      2.361E-01        4.721E-01       4.444E-04      3.316E-02
42.00    43.00    43.00     -1.000E-02     8.145E-05     4.781E-10     8.031E-30      1.585E-01      2.329E-01        4.659E-01       4.907E-04      3.000E-02
43.00    44.00    44.00     -1.000E-02     4.812E-05     4.566E-10     9.433E-30      1.543E-01      2.295E-01        4.591E-01       5.401E-04      2.722E-02
44.00    45.00    45.00     -1.000E-02     3.236E-05     4.365E-10     1.104E-29      1.500E-01      2.258E-01        4.517E-01       5.928E-04      2.478E-02
45.00    46.00    46.00     -1.000E-02     4.970E-05     4.177E-10     1.298E-29      1.456E-01      2.218E-01        4.436E-01       6.486E-04      2.261E-02
46.00    47.00    47.00     -1.000E-02     1.448E-04     4.001E-10     1.448E-29      1.411E-01      2.175E-01        4.350E-01       7.077E-04      2.070E-02
47.00    48.00    48.00     -1.000E-02     2.842E-04     3.836E-10     1.742E-29      1.366E-01      2.128E-01        4.257E-01       7.700E-04      1.900E-02
48.00    49.00    49.00     -1.000E-02     4.412E-04     3.681E-10     2.082E-29      1.320E-01      2.079E-01        4.157E-01       8.356E-04      1.748E-02
49.00    50.00    50.00     -1.000E-02     5.932E-04     3.535E-10     2.479E-29      1.273E-01      2.025E-01        4.051E-01       9.045E-04      1.612E-02
50.00    51.00    51.00     -1.000E-02     7.525E-04     3.397E-10     2.939E-29      1.225E-01      1.969E-01        3.938E-01       9.768E-04      1.490E-02
51.00    52.00    52.00     -1.000E-02     9.078E-04     3.268E-10     2.562E-28      1.176E-01      1.909E-01        3.818E-01       1.053E-03      1.379E-02
52.00    53.00    53.00     -1.000E-02     1.059E-03     3.146E-10     3.493E-28      1.127E-01      1.845E-01        3.689E-01       1.132E-03      1.279E-02
53.00    54.00    54.00     -1.000E-02     1.206E-03     3.030E-10     4.612E-28      1.077E-01      1.776E-01        3.552E-01       1.216E-03      1.188E-02
54.00    55.00    55.00     -1.000E-02     1.348E-03     2.921E-10     5.425E-28      1.026E-01      1.702E-01        3.403E-01       1.305E-03      1.104E-02
55.00    56.00    56.00     -1.000E-02     1.485E-03     2.817E-10     5.831E-28      9.732E-02      1.621E-01        3.242E-01       1.401E-03      1.026E-02
56.00    57.00    57.00     -1.000E-02     1.616E-03     2.719E-10     6.143E-28      9.188E-02      1.532E-01        3.064E-01       1.504E-03      9.526E-03
57.00    58.00    58.00     -1.000E-02     1.734E-03     2.626E-10     5.912E-28      8.620E-02      1.432E-01        2.864E-01       1.619E-03      8.823E-03
58.00    59.00    59.00     -1.000E-02     1.821E-03     2.538E-10     6.207E-28      8.016E-02      1.315E-01        2.630E-01       1.751E-03      8.132E-03
59.00    60.00    60.00     -1.000E-02     1.815E-03     2.454E-10     7.291E-28      7.355E-02      1.171E-01        2.343E-01       1.909E-03      7.429E-03
60.00    61.00    61.00     -1.000E-02     1.584E-03     2.374E-10     9.540E-28      6.606E-02      9.766E-02        1.953E-01       2.120E-03      6.665E-03
61.00    62.00    62.00     -1.000E-02     1.051E-03     2.298E-10     1.511E-27      5.732E-02      6.396E-02        1.279E-01       2.473E-03      5.690E-03
62.00    63.00    63.00     -1.000E-02     7.103E-04     2.225E-10     6.463E-27      4.057E-02      0.000E+00        0.000E+00       3.050E-03      4.452E-03
63.00    64.00    64.00     -1.000E-02     2.456E-03     2.156E-10     1.350E-26      0.000E+00      0.000E+00        0.000E+00       3.097E-03      4.271E-03
