 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    400.00    400.00     1.257E+01     1.718E-06     1.130E-05      0.000E+00      0.000E+00        0.000E+00       3.307E-03      4.272E-03
400.00    450.00    450.00     1.257E+01     3.483E-06     8.659E-06      0.000E+00      0.000E+00        0.000E+00       1.163E-03      4.263E-03
450.00    500.00    500.00     1.257E+01     6.413E-06     6.845E-06      0.000E+00      0.000E+00        0.000E+00       3.056E-04      4.259E-03
500.00    550.00    550.00     1.257E+01     1.093E-05     5.547E-06      0.000E+00      0.000E+00        0.000E+00       2.791E-05      4.258E-03
550.00    600.00    600.00     1.257E+01     1.752E-05     4.586E-06      0.000E+00      0.000E+00        0.000E+00       1.559E-05      4.258E-03
600.00    650.00    650.00     1.257E+01     2.666E-05     3.855E-06      0.000E+00      0.000E+00        0.000E+00       1.221E-04      4.258E-03
650.00    700.00    700.00     1.257E+01     3.885E-05     3.285E-06      0.000E+00      0.000E+00        0.000E+00       2.769E-04      4.259E-03
700.00    750.00    750.00     1.257E+01     5.459E-05     2.833E-06      0.000E+00      0.000E+00        0.000E+00       4.458E-04      4.260E-03
750.00    800.00    800.00     1.257E+01     7.437E-05     2.468E-06      0.000E+00      0.000E+00        0.000E+00       6.125E-04      4.260E-03
800.00    850.00    850.00     1.257E+01     9.865E-05     2.170E-06      0.000E+00      0.000E+00        0.000E+00       7.692E-04      4.261E-03
850.00    900.00    900.00     1.257E+01     1.279E-04     1.922E-06      0.000E+00      0.000E+00        0.000E+00       9.131E-04      4.262E-03
900.00    950.00    950.00     1.257E+01     1.626E-04     1.715E-06      0.000E+00      0.000E+00        0.000E+00       1.043E-03      4.262E-03
950.00    1000.00    1000.00     1.257E+01     2.032E-04     1.539E-06      0.000E+00      0.000E+00        0.000E+00       1.161E-03      4.263E-03
1000.00    1050.00    1050.00     1.257E+01     2.500E-04     1.389E-06      0.000E+00      0.000E+00        0.000E+00       1.266E-03      4.263E-03
1050.00    1100.00    1100.00     1.257E+01     3.037E-04     1.260E-06      0.000E+00      0.000E+00        0.000E+00       1.359E-03      4.264E-03
1100.00    1150.00    1150.00     1.257E+01     3.645E-04     1.148E-06      0.000E+00      0.000E+00        0.000E+00       1.443E-03      4.264E-03
1150.00    1200.00    1200.00     1.257E+01     4.331E-04     1.051E-06      0.000E+00      0.000E+00        0.000E+00       1.518E-03      4.264E-03
1200.00    1250.00    1250.00     1.257E+01     5.097E-04     9.651E-07      0.000E+00      0.000E+00        0.000E+00       1.586E-03      4.264E-03
1250.00    1300.00    1300.00     1.257E+01     5.950E-04     8.895E-07      0.000E+00      0.000E+00        0.000E+00       1.646E-03      4.265E-03
