 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    360.00    360.00     1.257E+01     2.810E-06     1.130E-05      0.000E+00      0.000E+00        0.000E+00       8.844E-03      4.296E-03
400.00    410.00    410.00     1.257E+01     6.074E-06     8.659E-06      0.000E+00      0.000E+00        0.000E+00       3.757E-03      4.274E-03
450.00    460.00    460.00     1.257E+01     1.174E-05     6.845E-06      0.000E+00      0.000E+00        0.000E+00       1.489E-03      4.264E-03
500.00    510.00    510.00     1.257E+01     2.073E-05     5.547E-06      0.000E+00      0.000E+00        0.000E+00       4.950E-04      4.260E-03
550.00    560.00    560.00     1.257E+01     3.398E-05     4.586E-06      0.000E+00      0.000E+00        0.000E+00       1.021E-04      4.258E-03
600.00    610.00    610.00     1.257E+01     5.235E-05     3.855E-06      0.000E+00      0.000E+00        0.000E+00       8.025E-07      4.258E-03
650.00    660.00    660.00     1.257E+01     7.658E-05     3.285E-06      0.000E+00      0.000E+00        0.000E+00       4.094E-05      4.258E-03
700.00    710.00    710.00     1.257E+01     1.072E-04     2.833E-06      0.000E+00      0.000E+00        0.000E+00       1.473E-04      4.258E-03
750.00    760.00    760.00     1.257E+01     1.447E-04     2.468E-06      0.000E+00      0.000E+00        0.000E+00       2.813E-04      4.259E-03
800.00    810.00    810.00     1.257E+01     1.892E-04     2.170E-06      0.000E+00      0.000E+00        0.000E+00       4.230E-04      4.260E-03
850.00    860.00    860.00     1.257E+01     2.410E-04     1.922E-06      0.000E+00      0.000E+00        0.000E+00       5.624E-04      4.260E-03
900.00    910.00    910.00     1.257E+01     3.000E-04     1.715E-06      0.000E+00      0.000E+00        0.000E+00       6.945E-04      4.261E-03
950.00    960.00    960.00     1.257E+01     3.663E-04     1.539E-06      0.000E+00      0.000E+00        0.000E+00       8.172E-04      4.261E-03
1000.00    1010.00    1010.00     1.257E+01     4.398E-04     1.389E-06      0.000E+00      0.000E+00        0.000E+00       9.299E-04      4.262E-03
1050.00    1060.00    1060.00     1.257E+01     5.204E-04     1.260E-06      0.000E+00      0.000E+00        0.000E+00       1.033E-03      4.262E-03
1100.00    1110.00    1110.00     1.257E+01     6.081E-04     1.148E-06      0.000E+00      0.000E+00        0.000E+00       1.126E-03      4.263E-03
1150.00    1160.00    1160.00     1.257E+01     7.029E-04     1.051E-06      0.000E+00      0.000E+00        0.000E+00       1.211E-03      4.263E-03
1200.00    1210.00    1210.00     1.257E+01     8.045E-04     9.651E-07      0.000E+00      0.000E+00        0.000E+00       1.288E-03      4.263E-03
1250.00    1260.00    1260.00     1.257E+01     9.130E-04     8.895E-07      0.000E+00      0.000E+00        0.000E+00       1.357E-03      4.264E-03
1300.00    1310.00    1310.00     1.257E+01     1.028E-03     8.225E-07      0.000E+00      0.000E+00        0.000E+00       1.421E-03      4.264E-03
1350.00    1360.00    1360.00     1.257E+01     1.151E-03     7.627E-07      0.000E+00      0.000E+00        0.000E+00       1.478E-03      4.264E-03
1400.00    1410.00    1410.00     1.257E+01     1.280E-03     7.092E-07      0.000E+00      0.000E+00        0.000E+00       1.531E-03      4.264E-03
1450.00    1460.00    1460.00     1.257E+01     1.415E-03     6.612E-07      0.000E+00      0.000E+00        0.000E+00       1.579E-03      4.264E-03
1500.00    1510.00    1510.00     1.257E+01     1.558E-03     6.179E-07      0.000E+00      0.000E+00        0.000E+00       1.622E-03      4.265E-03
1550.00    1560.00    1560.00     1.257E+01     1.707E-03     5.787E-07      0.000E+00      0.000E+00        0.000E+00       1.662E-03      4.265E-03
1600.00    1610.00    1610.00     1.257E+01     1.864E-03     5.431E-07      0.000E+00      0.000E+00        0.000E+00       1.699E-03      4.265E-03
1650.00    1660.00    1660.00     1.257E+01     2.026E-03     5.107E-07      0.000E+00      0.000E+00        0.000E+00       1.733E-03      4.265E-03
1700.00    1710.00    1710.00     1.257E+01     2.196E-03     4.811E-07      0.000E+00      0.000E+00        0.000E+00       1.764E-03      4.265E-03
1750.00    1760.00    1760.00     1.257E+01     2.373E-03     4.540E-07      0.000E+00      0.000E+00        0.000E+00       1.793E-03      4.265E-03
1800.00    1810.00    1810.00     1.257E+01     2.557E-03     4.292E-07      0.000E+00      0.000E+00        0.000E+00       1.819E-03      4.265E-03
1850.00    1860.00    1860.00     1.257E+01     2.747E-03     4.063E-07      0.000E+00      0.000E+00        0.000E+00       1.844E-03      4.266E-03
1900.00    1910.00    1910.00     1.257E+01     2.945E-03     3.852E-07      0.000E+00      0.000E+00        0.000E+00       1.867E-03      4.266E-03
1950.00    1960.00    1960.00     1.257E+01     3.149E-03     3.657E-07      0.000E+00      0.000E+00        0.000E+00       1.888E-03      4.266E-03
2000.00    2010.00    2010.00     1.257E+01     3.361E-03     3.477E-07      0.000E+00      0.000E+00        0.000E+00       1.907E-03      4.266E-03
2050.00    2060.00    2060.00     1.257E+01     3.579E-03     3.309E-07      0.000E+00      0.000E+00        0.000E+00       1.926E-03      4.266E-03
2100.00    2110.00    2110.00     1.257E+01     3.805E-03     3.154E-07      0.000E+00      0.000E+00        0.000E+00       1.943E-03      4.266E-03
2150.00    2160.00    2160.00     1.257E+01     4.038E-03     3.009E-07      0.000E+00      0.000E+00        0.000E+00       1.959E-03      4.266E-03
2200.00    2210.00    2210.00     1.257E+01     4.278E-03     2.874E-07      0.000E+00      0.000E+00        0.000E+00       1.974E-03      4.266E-03
2250.00    2260.00    2260.00     1.257E+01     4.526E-03     2.747E-07      0.000E+00      0.000E+00        0.000E+00       1.988E-03      4.266E-03
2300.00    2310.00    2310.00     1.257E+01     4.781E-03     2.629E-07      0.000E+00      0.000E+00        0.000E+00       2.001E-03      4.266E-03
2350.00    2360.00    2360.00     1.257E+01     5.043E-03     2.519E-07      0.000E+00      0.000E+00        0.000E+00       2.013E-03      4.266E-03
2400.00    2410.00    2410.00     1.257E+01     5.313E-03     2.415E-07      0.000E+00      0.000E+00        0.000E+00       2.025E-03      4.266E-03
2450.00    2460.00    2460.00     1.257E+01     5.590E-03     2.317E-07      0.000E+00      0.000E+00        0.000E+00       2.035E-03      4.266E-03
2500.00    2510.00    2510.00     1.257E+01     5.876E-03     2.226E-07      0.000E+00      0.000E+00        0.000E+00       2.046E-03      4.266E-03
2550.00    2560.00    2560.00     1.257E+01     6.168E-03     2.139E-07      0.000E+00      0.000E+00        0.000E+00       2.055E-03      4.266E-03
2600.00    2610.00    2610.00     1.257E+01     6.468E-03     2.058E-07      0.000E+00      0.000E+00        0.000E+00       2.064E-03      4.267E-03
2650.00    2660.00    2660.00     1.257E+01     6.776E-03     1.981E-07      0.000E+00      0.000E+00        0.000E+00       2.073E-03      4.267E-03
2700.00    2710.00    2710.00     1.257E+01     7.092E-03     1.908E-07      0.000E+00      0.000E+00        0.000E+00       2.081E-03      4.267E-03
2750.00    2760.00    2760.00     1.257E+01     7.416E-03     1.839E-07      0.000E+00      0.000E+00        0.000E+00       2.089E-03      4.267E-03
2800.00    2810.00    2810.00     1.257E+01     7.748E-03     1.774E-07      0.000E+00      0.000E+00        0.000E+00       2.096E-03      4.267E-03
2850.00    2860.00    2860.00     1.257E+01     8.088E-03     1.713E-07      0.000E+00      0.000E+00        0.000E+00       2.103E-03      4.267E-03
2900.00    2910.00    2910.00     1.257E+01     8.435E-03     1.654E-07      0.000E+00      0.000E+00        0.000E+00       2.110E-03      4.267E-03
2950.00    2960.00    2960.00     1.257E+01     8.791E-03     1.599E-07      0.000E+00      0.000E+00        0.000E+00       2.116E-03      4.267E-03
3000.00    3010.00    3010.00     1.257E+01     9.155E-03     1.546E-07      0.000E+00      0.000E+00        0.000E+00       2.122E-03      4.267E-03
3050.00    3060.00    3060.00     1.257E+01     9.528E-03     1.495E-07      0.000E+00      0.000E+00        0.000E+00       2.127E-03      4.267E-03
