 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
2550.00    2551.00    2551.00     1.000E+00     9.110E-01     1.355E-09      0.000E+00      0.000E+00        0.000E+00       2.265E-03      4.267E-03
2600.00    2601.00    2601.00     1.000E+00     9.504E-01     1.303E-09      0.000E+00      0.000E+00        0.000E+00       2.266E-03      4.267E-03
2650.00    2651.00    2651.00     1.000E+00     9.908E-01     1.254E-09      0.000E+00      0.000E+00        0.000E+00       2.267E-03      4.267E-03
2700.00    2701.00    2701.00     1.000E+00     1.032E+00     1.208E-09      0.000E+00      0.000E+00        0.000E+00       2.267E-03      4.267E-03
2750.00    2751.00    2751.00     1.000E+00     1.074E+00     1.165E-09      0.000E+00      0.000E+00        0.000E+00       2.268E-03      4.267E-03
2800.00    2801.00    2801.00     1.000E+00     1.118E+00     1.124E-09      0.000E+00      0.000E+00        0.000E+00       2.269E-03      4.267E-03
2850.00    2851.00    2851.00     1.000E+00     1.162E+00     1.085E-09      0.000E+00      0.000E+00        0.000E+00       2.269E-03      4.267E-03
2900.00    2901.00    2901.00     1.000E+00     1.207E+00     1.048E-09      0.000E+00      0.000E+00        0.000E+00       2.270E-03      4.267E-03
2950.00    2951.00    2951.00     1.000E+00     1.254E+00     1.012E-09      0.000E+00      0.000E+00        0.000E+00       2.270E-03      4.267E-03
3000.00    3001.00    3001.00     1.000E+00     1.301E+00     9.789E-10      0.000E+00      0.000E+00        0.000E+00       2.271E-03      4.267E-03
3050.00    3051.00    3051.00     1.000E+00     1.349E+00     9.471E-10      0.000E+00      0.000E+00        0.000E+00       2.271E-03      4.267E-03
3100.00    3101.00    3101.00     1.000E+00     1.398E+00     9.168E-10      0.000E+00      0.000E+00        0.000E+00       2.272E-03      4.267E-03
3150.00    3151.00    3151.00     1.000E+00     1.449E+00     8.879E-10      0.000E+00      0.000E+00        0.000E+00       2.272E-03      4.267E-03
3200.00    3201.00    3201.00     1.000E+00     1.500E+00     8.604E-10      0.000E+00      0.000E+00        0.000E+00       2.272E-03      4.267E-03
3250.00    3251.00    3251.00     1.000E+00     1.553E+00     8.341E-10      0.000E+00      0.000E+00        0.000E+00       2.273E-03      4.267E-03
3300.00    3301.00    3301.00     1.000E+00     1.606E+00     8.090E-10      0.000E+00      0.000E+00        0.000E+00       2.273E-03      4.267E-03
3350.00    3351.00    3351.00     1.000E+00     1.661E+00     7.851E-10      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
3400.00    3401.00    3401.00     1.000E+00     1.717E+00     7.622E-10      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
3450.00    3451.00    3451.00     1.000E+00     1.773E+00     7.402E-10      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
3500.00    3501.00    3501.00     1.000E+00     1.831E+00     7.192E-10      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
3550.00    3551.00    3551.00     1.000E+00     1.890E+00     6.991E-10      0.000E+00      0.000E+00        0.000E+00       2.275E-03      4.267E-03
3600.00    3601.00    3601.00     1.000E+00     1.950E+00     6.798E-10      0.000E+00      0.000E+00        0.000E+00       2.275E-03      4.267E-03
3650.00    3651.00    3651.00     1.000E+00     2.011E+00     6.614E-10      0.000E+00      0.000E+00        0.000E+00       2.275E-03      4.267E-03
3700.00    3701.00    3701.00     1.000E+00     2.073E+00     6.436E-10      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
3750.00    3751.00    3751.00     1.000E+00     2.137E+00     6.266E-10      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
3800.00    3801.00    3801.00     1.000E+00     2.201E+00     6.102E-10      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
3850.00    3851.00    3851.00     1.000E+00     2.267E+00     5.944E-10      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
3900.00    3901.00    3901.00     1.000E+00     2.333E+00     5.793E-10      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
3950.00    3951.00    3951.00     1.000E+00     2.401E+00     5.647E-10      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
4000.00    4001.00    4001.00     1.000E+00     2.470E+00     5.507E-10      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
4050.00    4051.00    4051.00     1.000E+00     2.541E+00     5.372E-10      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
4100.00    4101.00    4101.00     1.000E+00     2.612E+00     5.242E-10      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
4150.00    4151.00    4151.00     1.000E+00     2.684E+00     5.116E-10      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
4200.00    4201.00    4201.00     1.000E+00     2.758E+00     4.995E-10      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
4250.00    4251.00    4251.00     1.000E+00     2.833E+00     4.878E-10      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
4300.00    4301.00    4301.00     1.000E+00     2.909E+00     4.766E-10      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
4350.00    4351.00    4351.00     1.000E+00     2.986E+00     4.657E-10      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
4400.00    4401.00    4401.00     1.000E+00     3.064E+00     4.551E-10      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
