 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    355.00    355.00     1.257E+01     3.903E-06     1.130E-05      0.000E+00      0.000E+00        0.000E+00       9.896E-03      4.300E-03
400.00    405.00    405.00     1.257E+01     8.314E-06     8.659E-06      0.000E+00      0.000E+00        0.000E+00       4.259E-03      4.276E-03
450.00    455.00    455.00     1.257E+01     1.582E-05     6.845E-06      0.000E+00      0.000E+00        0.000E+00       1.733E-03      4.265E-03
500.00    505.00    505.00     1.257E+01     2.751E-05     5.547E-06      0.000E+00      0.000E+00        0.000E+00       6.080E-04      4.260E-03
550.00    555.00    555.00     1.257E+01     4.441E-05     4.586E-06      0.000E+00      0.000E+00        0.000E+00       1.458E-04      4.258E-03
600.00    605.00    605.00     1.257E+01     6.742E-05     3.855E-06      0.000E+00      0.000E+00        0.000E+00       6.295E-06      4.258E-03
650.00    655.00    655.00     1.257E+01     9.723E-05     3.285E-06      0.000E+00      0.000E+00        0.000E+00       2.486E-05      4.258E-03
700.00    705.00    705.00     1.257E+01     1.343E-04     2.833E-06      0.000E+00      0.000E+00        0.000E+00       1.189E-04      4.258E-03
750.00    755.00    755.00     1.257E+01     1.789E-04     2.468E-06      0.000E+00      0.000E+00        0.000E+00       2.460E-04      4.259E-03
800.00    805.00    805.00     1.257E+01     2.311E-04     2.170E-06      0.000E+00      0.000E+00        0.000E+00       3.840E-04      4.259E-03
850.00    855.00    855.00     1.257E+01     2.908E-04     1.922E-06      0.000E+00      0.000E+00        0.000E+00       5.216E-04      4.260E-03
900.00    905.00    905.00     1.257E+01     3.580E-04     1.715E-06      0.000E+00      0.000E+00        0.000E+00       6.530E-04      4.260E-03
950.00    955.00    955.00     1.257E+01     4.323E-04     1.539E-06      0.000E+00      0.000E+00        0.000E+00       7.758E-04      4.261E-03
