Mv1      lamL      xs(fb)          r          Acc     SR         ds       Sobs      xs_lim(fb)
160.0    2.00    3.0009e+01    3.109e-01     0.02    EM10      1.489      58.00      88.59
160.0    3.00    6.7486e+01    7.071e-01     0.02    EM10      3.367      58.00      92.13
160.0    4.00    1.1994e+02    1.376e+00     0.02    EM10      6.244      58.00      90.88
160.0    5.00    1.8775e+02    1.643e+00     0.05    IM8      14.725      180.00      119.81
160.0    6.00    2.6946e+02    3.092e+00     0.02    EM10      14.029      58.00      107.88
160.0    7.00    3.6730e+02    3.848e+00     0.02    EM10      18.325      58.00      127.70
160.0    8.00    4.8051e+02    5.852e+00     0.02    EM10      25.729      58.00      126.16
160.0    9.00    6.0683e+02    7.034e+00     0.02    EM10      31.746      58.00      145.18
160.0    10.00    7.4862e+02    8.766e+00     0.02    EM10      39.349      58.00      160.11
160.0    11.00    9.0820e+02    1.069e+01     0.02    EM10      47.849      58.00      177.48
160.0    12.00    1.0804e+03    1.119e+01     0.02    EM10      53.618      58.00      213.89
170.0    1.00    5.5927e+00    6.943e-02     0.02    EM10      0.302      58.00      72.34
170.0    2.00    2.2416e+01    2.375e-01     0.02    EM10      1.124      58.00      85.89
170.0    3.00    5.0412e+01    5.075e-01     0.02    EM10      2.469      58.00      93.41
170.0    4.00    8.9502e+01    9.482e-01     0.02    EM10      4.489      58.00      93.81
170.0    5.00    1.4009e+02    1.772e+00     0.02    EM10      7.636      58.00      85.68
170.0    6.00    2.0133e+02    2.263e+00     0.02    EM10      10.381      58.00      101.87
170.0    7.00    2.7434e+02    2.762e+00     0.02    EM10      13.434      58.00      120.49
170.0    8.00    3.5826e+02    4.384e+00     0.02    EM10      19.227      58.00      112.22
170.0    9.00    4.5263e+02    5.140e+00     0.02    EM10      23.452      58.00      129.71
170.0    10.00    5.6008e+02    6.953e+00     0.02    EM10      30.261      58.00      133.10
170.0    11.00    6.7770e+02    7.101e+00     0.02    EM10      33.811      58.00      164.54
170.0    12.00    8.0631e+02    9.299e+00     0.02    EM10      42.081      58.00      168.34
180.0    1.00    4.2356e+00    5.084e-02     0.02    EM10      0.225      58.00      74.51
