Mv1      lamL      xs(fb) 
250.0    8.00    7.0735e+01 
250.0    9.00    8.9606e+01 
250.0    10.00    1.1056e+02 
250.0    11.00    1.3387e+02 
250.0    12.00    1.5918e+02 
260.0    1.00    9.0534e-01 
260.0    2.00    3.6223e+00 
260.0    3.00    8.1318e+00 
260.0    4.00    1.4478e+01 
260.0    5.00    2.2618e+01 
260.0    6.00    3.2544e+01 
260.0    7.00    4.4280e+01 
260.0    8.00    5.7847e+01 
260.0    9.00    7.3183e+01 
260.0    10.00    9.0373e+01 
260.0    11.00    1.0947e+02 
260.0    12.00    1.3039e+02 
270.0    1.00    7.4591e-01 
270.0    2.00    2.9871e+00 
270.0    3.00    6.7036e+00 
270.0    4.00    1.1911e+01 
270.0    5.00    1.8641e+01 
270.0    6.00    2.6813e+01 
270.0    7.00    3.6506e+01 
270.0    8.00    4.7696e+01 
270.0    9.00    6.0355e+01 
270.0    10.00    7.4518e+01 
270.0    11.00    9.0174e+01 
270.0    12.00    1.0738e+02 
280.0    1.00    6.1686e-01 
280.0    2.00    2.4661e+00 
280.0    3.00    5.5528e+00 
280.0    4.00    9.8706e+00 
280.0    5.00    1.5424e+01 
280.0    6.00    2.2217e+01 
280.0    7.00    3.0213e+01 
280.0    8.00    3.9518e+01 
280.0    9.00    4.9952e+01 
280.0    10.00    6.1772e+01 
280.0    11.00    7.4655e+01 
280.0    12.00    8.8866e+01 
290.0    1.00    5.1356e-01 
290.0    2.00    2.0573e+00 
290.0    3.00    4.6262e+00 
290.0    4.00    8.2151e+00 
290.0    5.00    1.2866e+01 
290.0    6.00    1.8524e+01 
290.0    7.00    2.5162e+01 
290.0    8.00    3.2861e+01 
290.0    9.00    4.1603e+01 
290.0    10.00    5.1424e+01 
290.0    11.00    6.2153e+01 
290.0    12.00    7.3983e+01 
300.0    1.00    4.2991e-01 
300.0    2.00    1.7196e+00 
300.0    3.00    3.8715e+00 
300.0    4.00    6.8721e+00 
300.0    5.00    1.0762e+01 
300.0    6.00    1.5482e+01 
300.0    7.00    2.1065e+01 
300.0    8.00    2.7513e+01 
300.0    9.00    3.4819e+01 
300.0    10.00    4.2975e+01 
300.0    11.00    5.2052e+01 
300.0    12.00    6.1915e+01 
310.0    1.00    3.6122e-01 
310.0    2.00    1.4465e+00 
310.0    3.00    3.2514e+00 
310.0    4.00    5.7878e+00 
310.0    5.00    9.0432e+00 
310.0    6.00    1.3018e+01 
310.0    7.00    1.7703e+01 
310.0    8.00    2.3138e+01 
310.0    9.00    2.9290e+01 
310.0    10.00    3.6141e+01 
310.0    11.00    4.3770e+01 
310.0    12.00    5.2098e+01 
320.0    1.00    3.0573e-01 
320.0    2.00    1.2214e+00 
320.0    3.00    2.7493e+00 
320.0    4.00    4.8901e+00 
320.0    5.00    7.6427e+00 
320.0    6.00    1.0975e+01 
320.0    7.00    1.4975e+01 
320.0    8.00    1.9545e+01 
320.0    9.00    2.4774e+01 
320.0    10.00    3.0588e+01 
320.0    11.00    3.6999e+01 
320.0    12.00    4.3949e+01 
330.0    1.00    2.5928e-01 
330.0    2.00    1.0361e+00 
330.0    3.00    2.3328e+00 
330.0    4.00    4.1406e+00 
330.0    5.00    6.4790e+00 
330.0    6.00    9.3085e+00 
330.0    7.00    1.2677e+01 
330.0    8.00    1.6589e+01 
330.0    9.00    2.1013e+01 
330.0    10.00    2.5892e+01 
330.0    11.00    3.1316e+01 
330.0    12.00    3.7278e+01 
340.0    1.00    2.2052e-01 
340.0    2.00    8.8365e-01 
340.0    3.00    1.9865e+00 
340.0    4.00    3.5325e+00 
340.0    5.00    5.5246e+00 
340.0    6.00    7.9492e+00 
340.0    7.00    1.0806e+01 
340.0    8.00    1.4131e+01 
340.0    9.00    1.7870e+01 
340.0    10.00    2.2085e+01 
340.0    11.00    2.6706e+01 
340.0    12.00    3.1749e+01 
350.0    1.00    1.8854e-01 
350.0    2.00    7.5413e-01 
350.0    3.00    1.6983e+00 
350.0    4.00    3.0208e+00 
350.0    5.00    4.7098e+00 
350.0    6.00    6.7929e+00 
350.0    7.00    9.2412e+00 
350.0    8.00    1.2066e+01 
350.0    9.00    1.5260e+01 
350.0    10.00    1.8866e+01 
350.0    11.00    2.2810e+01 
350.0    12.00    2.7181e+01 
360.0    1.00    1.6166e-01 
360.0    2.00    6.4580e-01 
360.0    3.00    1.4567e+00 
360.0    4.00    2.5896e+00 
360.0    5.00    4.0467e+00 
360.0    6.00    5.8184e+00 
360.0    7.00    7.9249e+00 
360.0    8.00    1.0346e+01 
360.0    9.00    1.3114e+01 
360.0    10.00    1.6154e+01 
360.0    11.00    1.9587e+01 
360.0    12.00    2.3260e+01 
370.0    1.00    1.3876e-01 
370.0    2.00    5.5633e-01 
370.0    3.00    1.2516e+00 
370.0    4.00    2.2227e+00 
370.0    5.00    3.4801e+00 
370.0    6.00    5.0069e+00 
370.0    7.00    6.8250e+00 
370.0    8.00    8.9089e+00 
370.0    9.00    1.1261e+01 
370.0    10.00    1.3872e+01 
370.0    11.00    1.6838e+01 
370.0    12.00    2.0047e+01 
380.0    1.00    1.2008e-01 
380.0    2.00    4.7959e-01 
380.0    3.00    1.0799e+00 
380.0    4.00    1.9213e+00 
380.0    5.00    3.0011e+00 
380.0    6.00    4.3236e+00 
380.0    7.00    5.8802e+00 
380.0    8.00    7.7058e+00 
380.0    9.00    9.7279e+00 
380.0    10.00    1.2013e+01 
380.0    11.00    1.4532e+01 
380.0    12.00    1.7290e+01 
390.0    1.00    1.0401e-01 
390.0    2.00    4.1549e-01 
390.0    3.00    9.3483e-01 
390.0    4.00    1.6639e+00 
390.0    5.00    2.6004e+00 
390.0    6.00    3.7412e+00 
390.0    7.00    5.0932e+00 
390.0    8.00    6.6495e+00 
390.0    9.00    8.4279e+00 
390.0    10.00    1.0400e+01 
390.0    11.00    1.2572e+01 
390.0    12.00    1.4962e+01 
400.0    1.00    9.0114e-02 
400.0    2.00    3.6094e-01 
400.0    3.00    8.1169e-01 
400.0    4.00    1.4433e+00 
400.0    5.00    2.2543e+00 
400.0    6.00    3.2514e+00 
400.0    7.00    4.4122e+00 
400.0    8.00    5.7795e+00 
400.0    9.00    7.3091e+00 
400.0    10.00    9.0176e+00 
400.0    11.00    1.0923e+01 
400.0    12.00    1.2991e+01 
410.0    1.00    7.8505e-02 
410.0    2.00    3.1442e-01 
410.0    3.00    7.0666e-01 
410.0    4.00    1.2569e+00 
410.0    5.00    1.9652e+00 
410.0    6.00    2.8294e+00 
410.0    7.00    3.8482e+00 
410.0    8.00    5.0286e+00 
410.0    9.00    6.3656e+00 
410.0    10.00    7.8557e+00 
410.0    11.00    9.5092e+00 
410.0    12.00    1.1315e+01 
420.0    1.00    6.8577e-02 
420.0    2.00    2.7456e-01 
420.0    3.00    6.1618e-01 
420.0    4.00    1.0962e+00 
420.0    5.00    1.7159e+00 
420.0    6.00    2.4671e+00 
420.0    7.00    3.3573e+00 
420.0    8.00    4.3844e+00 
420.0    9.00    5.5582e+00 
420.0    10.00    6.8665e+00 
420.0    11.00    8.3068e+00 
420.0    12.00    9.8650e+00 
430.0    1.00    5.9891e-02 
430.0    2.00    2.3964e-01 
430.0    3.00    5.3915e-01 
430.0    4.00    9.5886e-01 
430.0    5.00    1.4977e+00 
430.0    6.00    2.1592e+00 
430.0    7.00    2.9391e+00 
430.0    8.00    3.8406e+00 
430.0    9.00    4.8520e+00 
430.0    10.00    5.9932e+00 
430.0    11.00    7.2650e+00 
430.0    12.00    8.6347e+00 
440.0    1.00    5.2513e-02 
440.0    2.00    2.1026e-01 
440.0    3.00    4.7330e-01 
440.0    4.00    8.4078e-01 
440.0    5.00    1.3151e+00 
440.0    6.00    1.8925e+00 
440.0    7.00    2.5742e+00 
440.0    8.00    3.3652e+00 
440.0    9.00    4.2540e+00 
440.0    10.00    5.2593e+00 
440.0    11.00    6.3666e+00 
440.0    12.00    7.5738e+00 
450.0    1.00    4.6182e-02 
450.0    2.00    1.8474e-01 
450.0    3.00    4.1593e-01 
450.0    4.00    7.3969e-01 
450.0    5.00    1.1538e+00 
450.0    6.00    1.6624e+00 
450.0    7.00    2.2654e+00 
450.0    8.00    2.9590e+00 
450.0    9.00    3.7445e+00 
450.0    10.00    4.6153e+00 
450.0    11.00    5.5840e+00 
450.0    12.00    6.6453e+00 
460.0    1.00    4.0716e-02 
460.0    2.00    1.6298e-01 
460.0    3.00    3.6597e-01 
460.0    4.00    6.5080e-01 
460.0    5.00    1.0167e+00 
460.0    6.00    1.4660e+00 
460.0    7.00    1.9927e+00 
460.0    8.00    2.6035e+00 
460.0    9.00    3.2964e+00 
460.0    10.00    4.0641e+00 
460.0    11.00    4.9187e+00 
460.0    12.00    5.8562e+00 
470.0    1.00    3.5928e-02 
470.0    2.00    1.4380e-01 
470.0    3.00    3.2314e-01 
470.0    4.00    5.7431e-01 
470.0    5.00    8.9698e-01 
470.0    6.00    1.2934e+00 
470.0    7.00    1.7579e+00 
470.0    8.00    2.2950e+00 
470.0    9.00    2.9087e+00 
470.0    10.00    3.5921e+00 
470.0    11.00    4.3444e+00 
470.0    12.00    5.1679e+00 
480.0    1.00    3.1731e-02 
480.0    2.00    1.2697e-01 
480.0    3.00    2.8570e-01 
480.0    4.00    5.0807e-01 
480.0    5.00    7.9364e-01 
480.0    6.00    1.1449e+00 
480.0    7.00    1.5533e+00 
480.0    8.00    2.0297e+00 
480.0    9.00    2.5701e+00 
480.0    10.00    3.1705e+00 
480.0    11.00    3.8378e+00 
480.0    12.00    4.5734e+00 
490.0    1.00    2.8149e-02 
490.0    2.00    1.1246e-01 
490.0    3.00    2.5333e-01 
490.0    4.00    4.5036e-01 
490.0    5.00    7.0426e-01 
490.0    6.00    1.0115e+00 
490.0    7.00    1.3777e+00 
490.0    8.00    1.8012e+00 
490.0    9.00    2.2796e+00 
490.0    10.00    2.8134e+00 
