Mv1      Mv2      xs(fb) 
100.0    110.00    2081.30 
110.0    120.00    1453.80 
120.0    130.00    1043.90 
130.0    140.00    768.61 
140.0    150.00    578.40 
150.0    160.00    442.69 
160.0    170.00    343.45 
170.0    180.00    270.68 
180.0    190.00    215.72 
190.0    200.00    173.89 
200.0    210.00    141.30 
210.0    220.00    115.92 
220.0    230.00    95.97 
230.0    240.00    79.88 
240.0    250.00    66.97 
250.0    260.00    56.43 
260.0    270.00    47.90 
270.0    280.00    40.79 
280.0    290.00    34.90 
290.0    300.00    30.02 
300.0    310.00    25.96 
310.0    320.00    22.47 
320.0    330.00    19.56 
330.0    340.00    17.05 
340.0    350.00    14.93 
350.0    360.00    13.11 
360.0    370.00    11.53 
370.0    380.00    10.17 
380.0    390.00    9.00 
390.0    400.00    7.98 
400.0    410.00    7.10 
