Mv1      Mv2      xs(fb)          r           Acc      SR         ds         Sobs      xs_lim(fb)
100.0    101.0    2.4656e+03    1.343e+01     0.04    IM7      188.397      274.00      360.46
150.0    151.0    4.9672e+02    3.069e+00     0.01    EM10      19.396      58.00      212.63
200.0    201.0    1.5471e+02    1.000e+00     0.01    EM10      6.169      58.00      154.66
250.0    251.0    6.0898e+01    4.818e-01     0.01    EM10      2.665      58.00      117.53
300.0    301.0    2.7676e+01    2.158e-01     0.01    EM10      1.203      58.00      114.57
350.0    351.0    1.3883e+01    9.621e-02     0.06    IM7      1.191      274.00      135.29
400.0    401.0    7.4776e+00    5.773e-02     0.06    IM7      0.676      274.00      121.54
