Mv1      lamL      xs(fb) 
100.0    5.00    1702.90 
120.0    5.00    731.14 
140.0    5.00    354.64 
160.0    5.00    187.51 
180.0    5.00    106.03 
200.0    5.00    63.09 
220.0    5.00    39.15 
240.0    5.00    25.20 
260.0    5.00    16.70 
280.0    5.00    11.32 
300.0    5.00    7.86 
320.0    5.00    5.56 
340.0    5.00    3.99 
360.0    5.00    2.91 
380.0    5.00    2.15 
400.0    5.00    1.61 
