Mv1      Mv2      xs(fb) 
100.0    101.00    2465.60 
110.0    111.00    1694.50 
120.0    121.00    1203.80 
130.0    131.00    877.97 
140.0    141.00    653.76 
150.0    151.00    496.22 
160.0    161.00    383.64 
170.0    171.00    300.18 
180.0    181.00    238.13 
190.0    191.00    191.05 
200.0    201.00    154.85 
210.0    211.00    126.49 
220.0    221.00    104.30 
230.0    231.00    86.63 
240.0    241.00    72.41 
250.0    251.00    60.84 
260.0    261.00    51.52 
270.0    271.00    43.79 
280.0    281.00    37.45 
290.0    291.00    32.11 
300.0    301.00    27.68 
310.0    311.00    23.96 
320.0    321.00    20.81 
330.0    331.00    18.12 
340.0    341.00    15.84 
350.0    351.00    13.88 
360.0    361.00    12.20 
370.0    371.00    10.76 
380.0    381.00    9.50 
390.0    391.00    8.43 
400.0    401.00    7.49 
