Mv1      lamL      xs(fb) 
100.0    1.00    88.81 
120.0    1.00    38.33 
140.0    1.00    18.66 
160.0    1.00    9.94 
180.0    1.00    5.64 
200.0    1.00    3.38 
220.0    1.00    2.11 
240.0    1.00    1.36 
260.0    1.00    0.91 
280.0    1.00    0.62 
300.0    1.00    0.43 
320.0    1.00    0.31 
340.0    1.00    0.22 
360.0    1.00    0.16 
380.0    1.00    0.12 
400.0    1.00    0.09 
