Mv1      lamL      xs(fb) 
100.0    1.00    68.12 
120.0    1.00    29.29 
140.0    1.00    14.17 
160.0    1.00    7.51 
180.0    1.00    4.24 
200.0    1.00    2.52 
220.0    1.00    1.57 
240.0    1.00    1.01 
260.0    1.00    0.67 
280.0    1.00    0.45 
300.0    1.00    0.31 
320.0    1.00    0.22 
340.0    1.00    0.16 
360.0    1.00    0.12 
380.0    1.00    0.09 
400.0    1.00    0.06 
