Mv1      lamL      xs(fb) 
100.0    5.00    2216.60 
120.0    5.00    958.19 
140.0    5.00    467.17 
160.0    5.00    248.24 
180.0    5.00    141.04 
200.0    5.00    84.41 
220.0    5.00    52.66 
240.0    5.00    34.02 
260.0    5.00    22.61 
280.0    5.00    15.42 
300.0    5.00    10.74 
320.0    5.00    7.63 
340.0    5.00    5.52 
360.0    5.00    4.04 
380.0    5.00    3.00 
400.0    5.00    2.26 
