Mv1      Mv2      xs(fb)            r          Acc     SR         ds         Sobs      xs_lim(fb)
130.0    441.0    7.1094e+01    9.430e-01     0.02    EM10      2.455      58.00      75.10
130.0    451.0    6.7570e+01    8.459e-01     0.02    EM10      2.269      58.00      79.01
135.0    330.0    1.2467e+02    1.229e+00     0.02    EM10      3.733      58.00      103.27
135.0    340.0    1.1695e+02    1.175e+00     0.02    EM10      3.534      58.00      100.87
135.0    350.0    1.0989e+02    1.068e+00     0.02    EM10      3.268      58.00      103.48
135.0    360.0    1.0333e+02    1.110e+00     0.02    EM10      3.224      58.00      93.85
135.0    370.0    9.7465e+01    1.115e+00     0.02    EM10      3.134      58.00      88.16
135.0    380.0    9.1817e+01    1.152e+00     0.02    EM10      3.087      58.00      80.58
135.0    390.0    8.6657e+01    1.008e+00     0.02    EM10      2.809      58.00      86.03
135.0    400.0    8.1891e+01    9.152e-01     0.02    EM10      2.604      58.00      88.92
135.0    410.0    7.7481e+01    9.179e-01     0.02    EM10      2.534      58.00      83.91
135.0    420.0    7.3437e+01    9.229e-01     0.02    EM10      2.471      58.00      79.14
140.0    141.0    6.5335e+02    3.553e+00     0.04    IM7      31.091      274.00      207.24
140.0    151.0    5.7066e+02    1.683e+00     0.06    IM6      31.658      692.00      349.04
140.0    161.0    5.0142e+02    1.989e+00     0.03    IM7      20.466      274.00      266.58
140.0    171.0    4.4471e+02    1.850e+00     0.03    IM7      18.578      274.00      251.91
140.0    181.0    3.9699e+02    1.664e+00     0.03    IM7      16.644      274.00      247.51
140.0    191.0    3.5622e+02    1.597e+00     0.04    IM7      15.431      274.00      230.31
140.0    201.0    3.2138e+02    1.571e+00     0.04    IM7      14.520      274.00      210.67
140.0    211.0    2.9138e+02    1.544e+00     0.04    IM7      13.692      274.00      193.86
140.0    221.0    2.6551e+02    1.477e+00     0.04    IM7      12.774      274.00      184.02
140.0    231.0    2.4255e+02    1.299e+00     0.04    IM7      11.457      274.00      189.50
140.0    241.0    2.2260e+02    1.235e+00     0.04    IM7      10.695      274.00      182.38
140.0    251.0    2.0463e+02    1.222e+00     0.05    IM7      10.193      274.00      169.18
140.0    261.0    1.8876e+02    1.162e+00     0.05    IM7      9.544      274.00      163.61
140.0    271.0    1.7466e+02    1.164e+00     0.05    IM7      9.177      274.00      151.19
140.0    281.0    1.6212e+02    1.266e+00     0.01    EM10      4.342      58.00      131.10
