Mv1      Mv2      xs(fb)            r          Acc     SR         ds         Sobs      xs_lim(fb)
197.0    198.0    1.6460e+02    1.088e+00     0.05    IM7      8.616      274.00      151.85
197.0    199.0    1.6301e+02    9.947e-01     0.05    IM7      8.205      274.00      163.84
197.0    200.0    1.6140e+02    9.326e-01     0.05    IM7      7.911      274.00      172.51
198.0    198.0    1.6317e+02    1.014e+00     0.05    IM7      8.287      274.00      161.00
198.0    199.0    1.6116e+02    1.063e+00     0.01    EM10      3.983      58.00      152.53
198.0    200.0    1.5953e+02    9.488e-01     0.05    IM7      7.930      274.00      167.73
199.0    199.0    1.5967e+02    9.693e-01     0.05    IM7      8.017      274.00      164.48
199.0    200.0    1.5811e+02    1.069e+00     0.01    EM10      3.954      58.00      148.86
200.0    200.0    1.5637e+02    9.526e-01     0.05    IM7      7.864      274.00      163.79
200.0    201.0    1.5475e+02    9.690e-01     0.05    IM7      7.888      274.00      159.48
200.0    211.0    1.3999e+02    6.327e-01     0.04    IM7      6.088      274.00      216.83
200.0    221.0    1.2724e+02    5.366e-01     0.03    IM7      5.350      274.00      230.93
200.0    231.0    1.1604e+02    4.983e-01     0.03    IM7      4.923      274.00      226.35
200.0    241.0    1.0618e+02    4.641e-01     0.04    IM7      4.543      274.00      221.99
200.0    251.0    9.7574e+01    4.350e-01     0.04    IM7      4.215      274.00      217.36
200.0    261.0    8.9828e+01    4.203e-01     0.04    IM7      3.973      274.00      207.10
200.0    271.0    8.3036e+01    3.757e-01     0.04    IM7      3.613      274.00      213.50
200.0    281.0    7.6875e+01    3.699e-01     0.04    IM7      3.447      274.00      200.90
200.0    291.0    7.1363e+01    3.775e-01     0.04    IM7      3.350      274.00      183.12
200.0    301.0    6.6390e+01    2.270e-01     0.07    IM6      3.960      692.00      283.54
200.0    311.0    6.1857e+01    3.161e-01     0.04    IM7      2.856      274.00      188.84
200.0    321.0    5.7847e+01    3.283e-01     0.05    IM7      2.810      274.00      170.44
200.0    331.0    5.4068e+01    3.141e-01     0.05    IM7      2.657      274.00      166.47
200.0    341.0    5.0680e+01    2.957e-01     0.05    IM7      2.496      274.00      165.59
200.0    351.0    4.7566e+01    2.846e-01     0.05    IM7      2.371      274.00      161.45
200.0    361.0    4.4710e+01    2.988e-01     0.05    IM7      2.353      274.00      144.90
200.0    371.0    4.2136e+01    2.910e-01     0.05    IM7      2.253      274.00      140.27
200.0    381.0    3.9667e+01    2.780e-01     0.06    IM7      2.136      274.00      138.16
200.0    391.0    3.7421e+01    2.819e-01     0.06    IM7      2.088      274.00      128.68
200.0    401.0    3.5377e+01    3.344e-01     0.02    EM10      1.038      58.00      100.11
