 Mv1   Mvp      cs_(pb)   
 4.2    88.0    1.6238E+00 
 48.0    94.6    2.0073E-02 
 1.0    91.9    4.5034E-01 
 21.7    89.8    1.0102E+00 
 32.5    85.3    2.7715E+00 
 41.3    85.1    2.8676E+00 
 61.5    85.4    2.7241E+00 
 11.1    85.1    2.8676E+00 
 17.8    90.2    8.9039E-01 
 25.2    89.4    1.1361E+00 
 8.2    90.0    9.4955E-01 
 62.7    90.5    8.0450E-01 
 7.3    94.4    3.6980E-02 
 24.8    89.4    1.1361E+00 
 7.0    87.4    1.8551E+00 
 14.2    87.7    1.7378E+00 
 72.0    89.5    1.1041E+00 
 30.8    86.2    2.3583E+00 
 47.0    94.1    6.8225E-02 
 17.4    88.9    1.3019E+00 
 13.9    87.7    1.7378E+00 
 40.5    88.0    1.6238E+00 
 79.0    91.4    5.6781E-01 
 73.9    93.6    1.3331E-01 
 15.0    92.1    4.0625E-01 
 36.9    92.6    3.0361E-01 
 27.2    89.3    1.1685E+00 
 70.4    87.3    1.8950E+00 
 52.6    94.4    3.6980E-02 
 67.2    90.8    7.2207E-01 
 19.0    93.0    2.2961E-01 
 85.2    94.0    8.0020E-02 
24.0    94.5    2.8092E-02 
 9.3    88.2    1.5497E+00 
 11.1    90.7    7.4916E-01 
 1.7    85.3    2.7715E+00 
 21.0    90.5    8.0450E-01 
 5.1    94.0    8.0020E-02 
 11.6    86.7    2.1420E+00 
 6.2    93.8    1.0549E-01 
 8.4    91.5    5.4350E-01 
 25.0    92.8    2.6568E-01 
 6.8    94.2    5.7095E-02 
 2.4    92.0    4.2808E-01 
 22.9    90.0    9.4955E-01 
 2.2    86.3    2.3143E+00 
 8.2    90.4    8.3274E-01 
 16.3    87.6    1.7765E+00 
 12.7    94.8    7.0768E-03 
 14.9    94.1    6.8225E-02 
 14.2    91.1    6.4316E-01 
 23.5    88.8    1.3362E+00 
 5.0    86.1    2.4027E+00 
 7.8    91.1    6.4316E-01 
 7.8    90.0    9.4955E-01 
 12.7    90.9    6.9538E-01 
 4.5    89.9    9.7971E-01 
 9.9    88.9    1.3019E+00 
 10.9    89.3    1.1685E+00 
 3.0    88.3    1.5132E+00 
 23.4    86.3    2.3143E+00 
 11.9    87.4    1.8551E+00 
 17.1    85.9    2.4926E+00 
 12.9    86.6    2.1845E+00 
 2.7    85.8    2.5381E+00 
 2.6    91.2    6.1765E-01 
 17.5    85.1    2.8676E+00 
 25.0    93.5    1.4806E-01 
 3.8    87.8    1.6994E+00 
 12.1    89.0    1.2680E+00 
 19.8    94.5    2.8092E-02 
 24.8    94.3    4.6666E-02 
 11.5    88.6    1.4059E+00 
 8.7    93.5    1.4806E-01 
 20.1    89.0    1.2680E+00 
 5.2    92.3    3.6388E-01 
 13.9    91.3    5.9253E-01 
 24.2    87.1    1.9758E+00 
 18.1    89.6    1.0724E+00 
 9.9    92.8    2.6568E-01 
 14.0    89.4    1.1361E+00 
 10.6    87.3    1.8950E+00 
 11.7    89.0    1.2680E+00 
53.5    92.5    3.2325E-01 
 5.1    90.9    6.9538E-01 
 16.6    93.7    1.1912E-01 
 89.5    93.1    2.1230E-01 
 1.1    92.7    2.8441E-01 
 39.6    92.2    3.8485E-01 
 78.4    93.1    2.1230E-01 
 44.7    91.8    4.7301E-01 
 46.5    92.7    2.8441E-01 
 76.6    91.5    5.4350E-01 
 8.4    92.9    2.4741E-01 
 16.7    94.3    4.6666E-02 
 33.5    90.6    7.7663E-01 
 17.1    94.9    2.4985E-03 
 22.3    94.9    2.4985E-03 
 3.2    93.7    1.1912E-01 
 49.3    90.3    8.6137E-01 
 92.0    93.2    1.9548E-01 
 80.6    94.1    6.8225E-02 
 26.4    94.0    8.0020E-02 
 36.8    93.2    1.9548E-01 
 24.8    90.7    7.4916E-01 
 27.1    93.4    1.6335E-01 
 50.0    93.6    1.3331E-01 
 23.8    91.3    5.9253E-01 
 2.7    91.5    5.4350E-01 
 84.5    90.9    6.9538E-01 
 17.3    90.9    6.9538E-01 
 30.2    91.6    5.1959E-01 
 15.7    92.6    3.0361E-01 
 32.3    90.9    6.9538E-01 
 26.3    94.0    8.0020E-02 
 24.2    90.9    6.9538E-01 
 45.6    90.2    8.9039E-01 
 84.5    91.7    4.9609E-01 
 36.0    90.4    8.3274E-01 
 49.6    93.1    2.1230E-01 
 76.8    94.9    2.4985E-03 
 34.8    95.0    0.0000E+00 
 25.2    91.8    4.7301E-01 
 30.8    90.4    8.3274E-01 
 54.0    92.3    3.6388E-01 
 26.7    94.1    6.8225E-02 
 79.6    92.0    4.2808E-01 
 34.6    90.6    7.7663E-01 
 58.4    93.0    2.2961E-01 
 91.5    94.1    6.8225E-02 
 77.2    91.8    4.7301E-01 
 85.4    93.8    1.0549E-01 
 8.1    93.5    1.4806E-01 
 11.3    92.1    4.0625E-01 
 78.1    93.0    2.2961E-01 
 5.3    92.7    2.8441E-01 
 58.4    91.9    4.5034E-01 
 54.6    94.1    6.8225E-02 
 74.7    94.2    5.7095E-02 
 91.2    91.4    5.6781E-01 
 31.6    90.9    6.9538E-01 
 11.8    90.5    8.0450E-01 
 58.4    92.2    3.8485E-01 
 22.1    90.8    7.2207E-01 
 5.4    90.6    7.7663E-01 
 49.7    94.1    6.8225E-02 
 57.4    92.8    2.6568E-01 
 52.6    93.4    1.6335E-01 
 27.5    90.2    8.9039E-01 
 84.7    94.2    5.7095E-02 
 42.5    91.9    4.5034E-01 
 67.5    90.8    7.2207E-01 
 23.7    92.9    2.4741E-01 
 44.9    92.7    2.8441E-01 
 75.7    92.8    2.6568E-01 
 64.5    91.7    4.9609E-01 
 1.1    94.3    4.6666E-02 
 49.8    90.2    8.9039E-01 
 86.1    92.4    3.4335E-01 
 30.0    92.2    3.8485E-01 
 4.9    94.1    6.8225E-02 
 11.3    90.1    9.1978E-01 
 12.3    91.9    4.5034E-01 
 7.3    94.8    7.0768E-03 
 22.7    92.4    3.4335E-01 
 35.3    94.5    2.8092E-02 
 65.0    92.9    2.4741E-01 
 47.9    90.4    8.3274E-01 
 12.4    91.1    6.4316E-01 
 64.5    93.8    1.0549E-01 
 56.6    93.2    1.9548E-01 
 61.6    90.3    8.6137E-01 
 69.2    93.0    2.2961E-01 
 52.7    92.7    2.8441E-01 
 7.9    94.1    6.8225E-02 
 63.2    90.4    8.3274E-01 
 14.8    93.7    1.1912E-01 
 46.0    91.0    6.6907E-01 
 70.6    93.4    1.6335E-01 
 68.8    90.2    8.9039E-01 
 57.0    91.7    4.9609E-01 
 63.0    90.2    8.9039E-01 
 42.6    93.7    1.1912E-01 
 27.5    90.3    8.6137E-01 
