 Mv1   Mvp      cs_(pb)   
 42.0    57.2    4.3141E+01 
 38.7    87.3    1.8950E+00 
 86.2    60.8    3.2840E+01 
 70.8    73.4    1.1683E+01 
 78.2    46.7    9.7460E+01 
 24.4    86.3    2.3143E+00 
 85.5    69.7    1.6195E+01 
 74.1    93.1    2.1230E-01 
 87.1    81.5    4.8744E+00 
 94.9    81.2    5.0665E+00 
 94.5    91.3    5.9253E-01 
 56.2    93.1    2.1230E-01 
 88.1    84.8    3.0147E+00 
 17.5    70.5    1.5126E+01 
 43.2    59.2    3.7083E+01 
 90.9    89.3    1.1685E+00 
 50.6    62.9    2.7958E+01 
 69.7    66.7    2.0736E+01 
 64.3    68.7    1.7611E+01 
 1.3    69.7    1.6195E+01 
 48.8    57.6    4.1856E+01 
 31.1    65.3    2.3183E+01 
 71.0    49.9    7.5473E+01 
 35.7    78.0    7.3801E+00 
 78.9    63.4    2.6897E+01 
 37.1    86.1    2.4027E+00 
 28.6    93.6    1.3331E-01 
 74.8    56.0    4.7241E+01 
 73.2    93.1    2.1230E-01 
 69.6    55.9    4.7601E+01 
 24.1    79.3    6.3799E+00 
 10.7    83.7    3.5845E+00 
 5.1    86.7    2.1420E+00 
 20.6    80.9    5.2627E+00 
 29.9    55.6    4.8695E+01 
 20.9    85.8    2.5381E+00 
 44.5    71.6    1.3744E+01 
 21.9    55.4    4.9439E+01 
 60.2    74.6    1.0435E+01 
 82.6    67.9    1.8812E+01 
 91.2    57.6    4.1856E+01 
 27.4    57.6    4.1856E+01 
 22.0    48.3    8.5662E+01 
 45.4    94.6    2.0073E-02 
 3.6    55.1    5.0577E+01 
 20.7    58.7    3.8514E+01 
 84.6    60.6    3.3344E+01 
 5.5    91.7    4.9609E-01 
 14.7    57.8    4.1228E+01 
 62.2    67.7    1.9122E+01 
 45.0    88.1    1.5865E+00 
 26.2    91.6    5.1959E-01 
 38.1    69.5    1.6471E+01 
 14.0    46.2    1.0153E+02 
 8.7    45.3    1.0936E+02 
 46.4    47.1    9.4343E+01 
 25.4    83.2    3.8597E+00 
 28.6    69.1    1.7033E+01 
 79.1    83.3    3.8039E+00 
 45.6    87.9    1.6614E+00 
 92.0    79.2    6.4538E+00 
 13.5    87.9    1.6614E+00 
 94.7    54.1    5.4573E+01 
 75.4    52.2    6.3120E+01 
 42.2    67.1    2.0077E+01 
 57.1    90.3    8.6137E-01 
 29.6    88.3    1.5132E+00 
 79.7    80.0    5.8761E+00 
 34.4    93.8    1.0549E-01 
 69.1    66.9    2.0404E+01 
 93.4    55.4    4.9439E+01 
 46.0    57.1    4.3469E+01 
 92.3    83.6    3.6387E+00 
 69.2    85.1    2.8676E+00 
 51.6    55.0    5.0963E+01 
 63.2    70.4    1.5257E+01 
 84.2    84.7    3.0645E+00 
 35.3    89.1    1.2345E+00 
 92.7    52.8    6.0275E+01 
 3.4    65.7    2.2460E+01 
 57.2    76.1    9.0042E+00 
 31.1    90.1    9.1978E-01 
 46.8    52.9    5.9814E+01 
 57.6    87.2    1.9352E+00 
 13.6    61.3    3.1611E+01 
 27.4    50.9    6.9800E+01 
 51.2    83.0    3.9727E+00 
 34.8    70.3    1.5388E+01 
 51.1    49.3    7.9123E+01 
 30.0    48.6    8.3638E+01 
 27.9    93.5    1.4806E-01 
 55.4    53.6    5.6695E+01 
 72.8    92.2    3.8485E-01 
 6.0    82.0    4.5630E+00 
 10.4    48.9    8.1668E+01 
 15.4    79.9    5.9467E+00 
 66.9    68.7    1.7611E+01 
 57.5    54.4    5.3340E+01 
 60.3    55.1    5.0577E+01 
 4.0    83.3    3.8039E+00 
 50.8    60.6    3.3344E+01 
 84.0    48.2    8.6349E+01 
 7.9    57.1    4.3469E+01 
 54.5    75.3    9.7500E+00 
 31.8    88.8    1.3362E+00 
 64.7    75.7    9.3723E+00 
 80.5    57.8    4.1228E+01 
 74.8    75.5    9.5600E+00 
 19.7    86.9    2.0582E+00 
 33.9    59.9    3.5166E+01 
 87.2    70.2    1.5520E+01 
 94.7    75.9    9.1870E+00 
 92.8    74.9    1.0138E+01 
 76.9    75.4    9.6547E+00 
 76.2    86.9    2.0582E+00 
 36.0    61.5    3.1131E+01 
 15.2    57.8    4.1228E+01 
 37.9    56.2    4.6531E+01 
 47.8    93.1    2.1230E-01 
 79.0    86.3    2.3143E+00 
 79.8    70.4    1.5257E+01 
 42.4    79.2    6.4538E+00 
 72.7    56.3    4.6181E+01 
 28.7    93.1    2.1230E-01 
 7.0    77.2    8.0395E+00 
 25.6    94.1    6.8225E-02 
 14.9    57.9    4.0917E+01 
 57.4    51.2    6.8192E+01 
 81.4    65.4    2.3001E+01 
 69.8    77.8    7.5417E+00 
 24.1    50.2    7.3719E+01 
 93.6    64.9    2.3926E+01 
 34.8    63.9    2.5873E+01 
 59.4    87.9    1.6614E+00 
 32.9    67.6    1.9278E+01 
 65.3    53.9    5.5411E+01 
 91.2    51.2    6.8192E+01 
 82.0    81.1    5.1314E+00 
 33.8    52.8    6.0275E+01 
 65.4    65.7    2.2460E+01 
 76.3    92.3    3.6388E-01 
 38.2    92.4    3.4335E-01 
 20.2    94.8    7.0768E-03 
 7.8    48.0    8.7743E+01 
 38.9    85.2    2.8194E+00 
 68.2    77.4    7.8714E+00 
 86.5    80.0    5.8761E+00 
 5.3    58.4    3.9398E+01 
 8.3    78.4    7.0631E+00 
 12.9    65.9    2.2106E+01 
 12.2    85.5    2.6770E+00 
 56.9    48.9    8.1668E+01 
 88.8    67.8    1.8966E+01 
 76.3    59.2    3.7083E+01 
 58.6    69.3    1.6750E+01 
 66.5    65.7    2.2460E+01 
 41.7    49.6    7.7274E+01 
 35.0    76.9    8.2958E+00 
 9.2    66.7    2.0736E+01 
 66.5    69.5    1.6471E+01 
 23.5    65.6    2.2639E+01 
 14.1    52.4    6.2155E+01 
 11.6    54.3    5.3748E+01 
 40.2    54.6    5.2535E+01 
 81.2    72.2    1.3031E+01 
 58.2    93.6    1.3331E-01 
 34.2    55.1    5.0577E+01 
 5.8    59.4    3.6525E+01 
 63.0    87.6    1.7765E+00 
 54.6    58.6    3.8807E+01 
 32.8    58.4    3.9398E+01 
 65.3    83.6    3.6387E+00 
 34.8    47.3    9.2828E+01 
 39.4    67.3    1.9755E+01 
 46.1    50.3    7.3144E+01 
 89.1    81.0    5.1968E+00 
 49.8    48.8    8.2319E+01 
 82.5    76.6    8.5572E+00 
 25.5    59.2    3.7083E+01 
 78.4    50.7    7.0895E+01 
 78.8    66.6    2.0903E+01 
 9.1    54.0    5.4990E+01 
 60.6    51.9    6.4597E+01 
 45.0    59.7    3.5704E+01 
 94.0    46.9    9.5887E+01 
 54.1    61.4    3.1370E+01 
 29.7    57.5    4.2174E+01 
 10.4    78.2    7.2206E+00 
 28.7    70.5    1.5126E+01 
 11.4    83.8    3.5307E+00 
 58.8    47.4    9.2081E+01 
 47.5    51.7    6.5602E+01 
 12.6    63.1    2.7529E+01 
 73.0    64.2    2.5275E+01 
 61.7    74.4    1.0636E+01 
 47.9    68.6    1.7757E+01 
 2.9    74.2    1.0840E+01 
 62.4    77.7    7.6233E+00 
 68.9    51.0    6.9260E+01 
 90.1    80.6    5.4630E+00 
 15.9    70.6    1.4996E+01 
 4.8    68.2    1.8354E+01 
 72.6    52.0    6.4100E+01 
 13.1    47.9    8.8449E+01 
 62.1    57.0    4.3799E+01 
 79.3    58.3    3.9698E+01 
 28.0    61.3    3.1611E+01 
 38.5    65.6    2.2639E+01 
 65.7    53.3    5.8010E+01 
 75.8    61.7    3.0659E+01 
 71.9    59.7    3.5704E+01 
 76.8    83.7    3.5845E+00 
 83.6    68.0    1.8658E+01 
 41.4    75.1    9.9426E+00 
 55.5    63.9    2.5873E+01 
 30.4    81.9    4.6244E+00 
 84.7    62.7    2.8392E+01 
 20.1    77.6    7.7055E+00 
 47.5    61.6    3.0894E+01 
 67.7    52.2    6.3120E+01 
 54.6    72.1    1.3148E+01 
 39.5    87.9    1.6614E+00 
 82.7    85.5    2.6770E+00 
 26.3    72.9    1.2232E+01 
 92.6    48.2    8.6349E+01 
 84.8    81.4    4.9380E+00 
 26.6    86.5    2.2274E+00 
 27.6    87.2    1.9352E+00 
 24.4    88.7    1.3708E+00 
 90.8    93.2    1.9548E-01 
 83.6    91.9    4.5034E-01 
 6.9    85.1    2.8676E+00 
 19.5    86.7    2.1420E+00 
 94.0    87.3    1.8950E+00 
 63.8    85.8    2.5381E+00 
 51.0    94.6    2.0073E-02 
 28.9    88.7    1.3708E+00 
 67.3    89.8    1.0102E+00 
 88.1    88.6    1.4059E+00 
 23.4    93.3    1.7916E-01 
 69.9    85.8    2.5381E+00 
 71.1    85.1    2.8676E+00 
 23.3    85.3    2.7715E+00 
 22.7    89.9    9.7971E-01 
 38.3    86.9    2.0582E+00 
 30.0    87.7    1.7378E+00 
 83.2    88.7    1.3708E+00 
 27.7    85.7    2.5840E+00 
 51.7    87.7    1.7378E+00 
 29.2    87.1    1.9758E+00 
 34.3    93.3    1.7916E-01 
 17.1    91.5    5.4350E-01 
 19.7    93.8    1.0549E-01 
 12.9    86.3    2.3143E+00 
 23.7    88.7    1.3708E+00 
 91.3    94.7    1.3019E-02 
 43.3    92.1    4.0625E-01 
 93.1    91.9    4.5034E-01 
 70.0    87.1    1.9758E+00 
 17.3    86.3    2.3143E+00 
 38.2    89.8    1.0102E+00 
 39.0    87.7    1.7378E+00 
 81.2    91.9    4.5034E-01 
 33.1    88.9    1.3019E+00 
 91.5    91.4    5.6781E-01 
 57.4    88.2    1.5497E+00 
 45.5    92.7    2.8441E-01 
 91.9    91.7    4.9609E-01 
 62.0    85.9    2.4926E+00 
 76.0    93.9    9.2450E-02 
 44.2    92.6    3.0361E-01 
 82.3    94.1    6.8225E-02 
 44.6    93.4    1.6335E-01 
 57.1    87.0    2.0168E+00 
 6.1    92.7    2.8441E-01 
 31.8    89.5    1.1041E+00 
 24.7    92.3    3.6388E-01 
 68.8    86.1    2.4027E+00 
 40.6    85.6    2.6303E+00 
 47.8    88.8    1.3362E+00 
 67.2    86.0    2.4474E+00 
 66.9    86.8    2.0999E+00 
 82.8    91.7    4.9609E-01 
 80.9    90.2    8.9039E-01 
 72.6    91.5    5.4350E-01 
 39.5    87.2    1.9352E+00 
 39.1    87.7    1.7378E+00 
 13.3    93.7    1.1912E-01 
 12.2    92.3    3.6388E-01 
 7.3    86.7    2.1420E+00 
 47.7    88.9    1.3019E+00 
 59.6    92.5    3.2325E-01 
 12.8    88.5    1.4413E+00 
 81.4    90.5    8.0450E-01 
 39.4    88.5    1.4413E+00 
 88.5    86.1    2.4027E+00 
 43.5    91.3    5.9253E-01 
 28.3    88.2    1.5497E+00 
 29.1    86.4    2.2706E+00 
 80.1    85.6    2.6303E+00 
 75.1    87.5    1.8156E+00 
 27.5    86.9    2.0582E+00 
 50.4    89.1    1.2345E+00 
 7.0    91.4    5.6781E-01 
 14.1    86.3    2.3143E+00 
 77.9    91.4    5.6781E-01 
 50.3    89.4    1.1361E+00 
 37.4    91.5    5.4350E-01 
 74.9    87.4    1.8551E+00 
 19.5    86.9    2.0582E+00 
 57.0    86.3    2.3143E+00 
 29.9    85.5    2.6770E+00 
 72.4    91.0    6.6907E-01 
 35.8    85.6    2.6303E+00 
 70.5    87.1    1.9758E+00 
 12.3    90.3    8.6137E-01 
 44.6    89.0    1.2680E+00 
 68.9    94.9    2.4985E-03 
 77.6    92.9    2.4741E-01 
 60.6    94.5    2.8092E-02 
 87.1    89.5    1.1041E+00 
 56.6    89.4    1.1361E+00 
 85.0    94.8    7.0768E-03 
 9.5    91.8    4.7301E-01 
 21.7    87.9    1.6614E+00 
 83.2    93.2    1.9548E-01 
 40.0    86.8    2.0999E+00 
13.2    42.7    1.3639E+02 
 38.7    57.0    4.3799E+01 
 28.2    59.5    3.6250E+01 
 43.1    43.4    1.2839E+02 
 4.8    55.7    4.8327E+01 
 32.9    41.5    1.5155E+02 
 36.0    41.4    1.5291E+02 
 20.0    56.7    4.4804E+01 
 29.1    54.6    5.2535E+01 
 26.2    58.1    4.0303E+01 
 46.9    58.9    3.7935E+01 
 42.4    49.4    7.8501E+01 
 52.2    57.2    4.3141E+01 
 53.5    48.4    8.4981E+01 
 33.2    40.7    1.6282E+02 
 37.1    55.1    5.0577E+01 
 11.1    45.0    1.1213E+02 
 36.6    52.6    6.1207E+01 
 14.2    46.3    1.0070E+02 
 48.2    45.8    1.0492E+02 
 7.0    46.8    9.6669E+01 
 22.6    53.9    5.5411E+01 
 25.3    53.8    5.5836E+01 
 32.3    57.8    4.1228E+01 
 25.5    59.1    3.7365E+01 
 47.9    43.9    1.2302E+02 
 54.3    50.0    7.4883E+01 
 40.3    55.4    4.9439E+01 
 22.2    51.1    6.8724E+01 
 12.4    58.1    4.0303E+01 
 35.7    56.1    4.6885E+01 
 39.8    55.2    5.0195E+01 
 4.3    45.2    1.1027E+02 
 24.1    45.6    1.0667E+02 
 35.1    43.8    1.2407E+02 
 34.6    53.6    5.6695E+01 
 32.5    58.7    3.8514E+01 
 23.1    58.9    3.7935E+01 
 37.8    58.1    4.0303E+01 
 50.2    40.8    1.6136E+02 
 51.8    52.6    6.1207E+01 
 14.8    55.3    4.9815E+01 
 8.5    58.0    4.0609E+01 
 32.7    49.7    7.6668E+01 
 27.8    54.6    5.2535E+01 
 24.0    40.9    1.5991E+02 
 32.6    40.9    1.5991E+02 
 48.3    51.8    6.5097E+01 
 19.2    43.9    1.2302E+02 
 52.5    57.7    4.1541E+01 
 23.8    48.8    8.2319E+01 
 34.4    58.4    3.9398E+01 
 23.3    58.8    3.8224E+01 
 52.1    40.0    1.7353E+02 
 50.9    54.0    5.4990E+01 
 3.4    54.1    5.4573E+01 
 20.4    45.5    1.0756E+02 
 28.9    49.1    8.0384E+01 
 11.2    40.2    1.7038E+02 
 56.6    52.6    6.1207E+01 
 44.6    46.6    9.8258E+01 
 40.6    45.5    1.0756E+02 
 23.3    49.5    7.7885E+01 
 52.1    53.7    5.6263E+01 
 40.4    54.8    5.1743E+01 
 34.8    41.1    1.5706E+02 
 11.7    42.8    1.3521E+02 
 58.5    51.2    6.8192E+01 
 5.7    56.8    4.4466E+01 
 34.0    58.5    3.9102E+01 
 32.9    52.0    6.4100E+01 
 38.3    57.4    4.2494E+01 
 52.6    42.1    1.4373E+02 
 20.2    41.0    1.5848E+02 
 7.6    45.4    1.0846E+02 
 40.9    57.0    4.3799E+01 
 36.4    46.9    9.5887E+01 
 8.4    59.6    3.5976E+01 
 49.3    59.8    3.5434E+01 
 40.2    49.7    7.6668E+01 
 44.1    44.7    1.1498E+02 
 32.9    58.3    3.9698E+01 
 23.1    50.3    7.3144E+01 
 28.9    49.1    8.0384E+01 
 21.9    40.6    1.6430E+02 
 23.3    57.9    4.0917E+01 
 38.3    40.2    1.7038E+02 
 46.2    50.1    7.4298E+01 
 7.7    41.8    1.4758E+02 
 33.7    44.5    1.1693E+02 
 22.2    44.6    1.1595E+02 
 5.6    59.2    3.7083E+01 
 35.0    44.1    1.2095E+02 
 56.3    47.9    8.8449E+01 
 12.5    52.0    6.4100E+01 
 52.9    58.5    3.9102E+01 
 50.4    48.4    8.4981E+01 
 50.5    44.2    1.1993E+02 
 56.1    46.2    1.0153E+02 
 40.3    45.8    1.0492E+02 
 21.3    40.9    1.5991E+02 
47.3    92.8    2.6568E-01 
 29.1    88.7    1.3708E+00 
 39.6    89.3    1.1685E+00 
 86.4    87.6    1.7765E+00 
 87.6    93.0    2.2961E-01 
 55.8    94.1    6.8225E-02 
 31.5    90.0    9.4955E-01 
 11.7    88.2    1.5497E+00 
 8.9    88.7    1.3708E+00 
 7.7    91.0    6.6907E-01 
 44.2    85.3    2.7715E+00 
 26.6    93.2    1.9548E-01 
 4.1    87.2    1.9352E+00 
 27.9    93.5    1.4806E-01 
 66.2    87.2    1.9352E+00 
 50.3    88.9    1.3019E+00 
 68.7    88.6    1.4059E+00 
 65.6    90.6    7.7663E-01 
 17.2    87.1    1.9758E+00 
 47.3    89.7    1.0411E+00 
 71.4    90.8    7.2207E-01 
