 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
10.33   17.61    100.00   6.150E-01   -7.589E-03   7.589E-03     4.061E+02     2.627E-05      9.035E-01       9.655E-02       1.661E-05      2.319E-12      1.007E+04 
57.43   57.52    100.00   -9.782E-01   -3.186E-01   3.186E-01     1.168E-03     2.476E-06      5.031E-01       4.966E-01       1.095E+05      1.896E-05      1.356E+01 
53.67   60.89    100.00   6.247E-01   3.066E-01   -3.066E-01     6.267E-03     1.154E-06      7.913E-01       2.079E-01       1.252E-05      1.601E-07      5.816E+00 
38.14   44.34    100.00   -5.422E-01   9.524E-01   -9.524E-01     3.240E-03     1.697E-06      6.724E-01       3.275E-01       2.791E-05      4.250E-06      3.411E+01 
33.86   37.29    100.00   3.268E-01   6.520E-01   -6.520E-01     8.096E-03     7.773E-07      6.284E-01       3.714E-01       5.376E-04      3.418E-07      2.386E+01 
32.72   35.43    100.00   -7.703E-01   -5.194E-01   5.194E-01     7.377E-03     4.616E-06      5.913E-01       4.087E-01       1.760E-03      1.287E-06      1.661E+02 
42.79   48.70    100.00   -6.401E-01   2.710E-01   -2.710E-01     9.354E-04     1.889E-06      6.570E-01       3.429E-01       3.477E-05      6.240E-06      2.688E+01 
58.15   65.44    100.00   -2.736E-02   4.591E-01   -4.591E-01     3.702E-03     1.890E-09      5.257E-01       0.000E+00       1.180E-05      3.755E-03      9.049E-03 
59.49   60.29    100.00   -4.851E-01   -6.569E-01   6.569E-01     7.251E-04     5.681E-07      5.433E-01       4.546E-01       8.620E-01      5.312E-05      2.143E+00 
30.49   34.73    100.00   8.886E-01   -8.927E-01   8.927E-01     3.225E-02     7.048E-06      6.559E-01       3.441E-01       1.877E-04      3.396E-08      2.788E+02 
23.54   29.85    100.00   2.301E-01   -2.546E-01   2.546E-01     4.244E-01     7.789E-07      7.650E-01       2.349E-01       2.797E-05      3.246E-07      5.196E+01 
38.43   43.66    100.00   -6.243E-01   4.429E-01   -4.429E-01     1.989E-03     2.217E-06      6.493E-01       3.506E-01       6.406E-05      3.697E-06      4.509E+01 
26.05   27.70    100.00   -6.452E-01   5.840E-01   -5.840E-01     1.625E-02     5.038E-06      5.673E-01       4.327E-01       2.217E-02      5.145E-07      3.504E+02 
24.41   31.44    100.00   6.829E-01   6.380E-02   -6.380E-02     5.286E-01     6.398E-06      7.686E-01       2.314E-01       1.644E-05      1.466E-09      3.877E+02 
12.51   16.04    100.00   -1.033E-01   9.844E-01   -9.844E-01     2.724E+00     5.196E-07      7.245E-01       2.755E-01       5.560E-04      3.796E-07      1.610E+02 
24.11   30.13    100.00   1.892E-01   7.676E-01   -7.676E-01     3.767E-01     5.029E-07      7.568E-01       2.430E-01       3.513E-05      6.440E-07      3.192E+01 
27.51   32.84    100.00   -4.422E-01   4.268E-02   -4.268E-02     1.085E-01     2.130E-06      6.856E-01       3.143E-01       6.182E-05      1.185E-06      1.063E+02 
51.37   56.92    100.00   5.519E-01   9.310E-01   -9.310E-01     6.764E-03     9.813E-07      6.849E-01       3.145E-01       4.602E-05      1.458E-09      6.906E+00 
47.11   53.20    100.00   1.841E-01   9.673E-02   -9.673E-02     7.989E-03     1.294E-07      7.200E-01       2.765E-01       2.967E-05      1.321E-05      1.205E+00 
34.47   37.19    100.00   -8.317E-01   8.287E-01   -8.287E-01     4.587E-03     4.865E-06      5.887E-01       4.112E-01       1.708E-03      1.533E-06      1.514E+02 
47.77   52.58    100.00   -3.369E-01   -3.720E-01   3.720E-01     3.908E-03     4.217E-07      6.148E-01       3.842E-01       9.489E-05      2.082E-05      4.374E+00 
59.27   65.82    100.00   -7.527E-01   -5.653E-01   5.653E-01     3.643E-04     1.378E-06      9.985E-01       0.000E+00       2.000E-05      6.239E-05      2.939E+00 
51.27   52.30    100.00   -5.886E-01   1.243E-01   -1.243E-01     8.318E-04     1.120E-06      5.269E-01       4.726E-01       2.459E-01      1.420E-05      1.033E+01 
24.43   30.83    100.00   -9.626E-02   7.338E-01   -7.338E-01     5.909E-01     1.269E-07      6.955E-01       3.040E-01       2.600E-05      6.778E-06      8.483E+00 
36.77   43.28    100.00   -8.317E-01   1.880E-01   -1.880E-01     8.147E-03     4.289E-06      6.889E-01       3.110E-01       2.201E-05      2.447E-06      9.411E+01 
19.08   22.67    100.00   -9.651E-01   9.058E-03   -9.058E-03     3.985E-01     2.049E-05      6.760E-01       3.240E-01       4.702E-04      1.118E-07      2.575E+03 
60.47   66.08    100.00   -3.589E-01   -8.299E-01   8.299E-01     1.499E-04     3.010E-07      9.914E-01       0.000E+00       4.296E-05      1.707E-04      5.040E-01 
41.34   46.97    100.00   5.758E-01   6.052E-01   -6.052E-01     4.019E-04     1.636E-06      6.780E-01       3.218E-01       4.406E-05      2.587E-11      2.527E+01 
35.94   40.27    100.00   3.625E-01   8.921E-01   -8.921E-01     5.936E-03     8.513E-07      6.538E-01       3.460E-01       1.660E-04      2.781E-07      2.107E+01 
46.23   53.57    100.00   6.884E-01   5.485E-01   -5.485E-01     9.522E-03     1.878E-06      7.193E-01       2.804E-01       1.176E-05      1.010E-07      1.873E+01 
20.01   25.49    100.00   -9.574E-01   -5.837E-01   5.837E-01     1.253E+00     1.841E-05      7.399E-01       2.601E-01       5.777E-05      1.507E-07      1.888E+03 
47.30   48.50    100.00   -3.120E-02   -9.380E-01   9.380E-01     2.421E-04     3.689E-09      4.392E-01       4.835E-01       1.052E-01      7.118E-04      5.555E-02 
46.29   52.95    100.00   -7.863E-01   -4.180E-02   4.180E-02     6.936E-03     2.443E-06      6.745E-01       3.254E-01       1.899E-05      8.014E-06      2.588E+01 
28.91   29.95    100.00   8.293E-01   -9.171E-01   9.171E-01     6.463E-03     6.804E-06      5.421E-01       4.579E-01       2.328E-01      1.541E-08      3.762E+02 
13.74   19.86    100.00   -5.182E-01   8.307E-01   -8.307E-01     1.722E+01     1.099E-05      8.216E-01       1.784E-01       3.662E-05      6.163E-08      2.433E+03 
35.64   41.49    100.00   -1.240E-01   1.942E-02   -1.942E-02     1.353E-02     1.013E-07      6.296E-01       3.688E-01       3.764E-05      2.182E-05      2.670E+00 
25.40   30.59    100.00   5.571E-01   5.555E-01   -5.555E-01     1.831E-01     3.944E-06      7.088E-01       2.912E-01       7.155E-05      1.411E-09      2.342E+02 
19.46   22.44    100.00   6.948E-01   -4.257E-01   4.257E-01     2.060E-01     1.022E-05      6.520E-01       3.480E-01       1.190E-03      5.064E-10      1.271E+03 
44.68   46.36    100.00   2.250E-01   1.503E-01   -1.503E-01     4.040E-05     2.145E-07      5.611E-01       4.375E-01       1.944E-02      4.277E-06      3.089E+00 
57.14   59.73    100.00   -9.210E-02   -7.223E-01   7.223E-01     3.148E-03     2.216E-08      5.413E-01       4.218E-01       2.106E-03      3.693E-04      1.167E-01 
56.82   62.64    100.00   4.494E-01   -3.404E-01   3.404E-01     3.091E-03     5.336E-07      9.973E-01       0.000E+00       3.605E-05      3.890E-07      1.581E+00 
60.26   64.50    100.00   -3.744E-01   4.719E-01   -4.719E-01     2.031E-04     3.299E-07      9.925E-01       0.000E+00       1.735E-04      1.537E-04      5.810E-01 
49.40   53.30    100.00   -2.711E-01   1.957E-01   -1.957E-01     3.096E-03     2.556E-07      5.888E-01       4.094E-01       2.678E-04      3.157E-05      2.442E+00 
14.24   17.72    100.00   -1.485E-01   3.864E-01   -3.864E-01     1.412E+00     8.444E-07      7.043E-01       2.956E-01       5.742E-04      3.418E-07      2.009E+02 
30.02   37.29    100.00   -9.976E-01   6.707E-01   -6.707E-01     1.441E-01     9.151E-06      7.338E-01       2.662E-01       1.341E-05      8.680E-07      3.375E+02 
53.54   61.06    100.00   9.338E-01   1.080E-01   -1.080E-01     3.976E-03     2.590E-06      7.998E-01       1.999E-01       1.023E-05      1.393E-06      1.307E+01 
21.42   23.24    100.00   4.675E-01   6.073E-02   -6.073E-02     4.546E-02     3.853E-06      5.909E-01       4.091E-01       1.431E-02      6.111E-09      4.196E+02 
37.48   43.18    100.00   5.928E-02   7.758E-01   -7.758E-01     4.411E-03     2.099E-08      7.843E-01       2.044E-01       4.208E-05      8.287E-05      3.816E-01 
15.40   18.54    100.00   4.812E-01   5.724E-02   -5.724E-02     7.877E-01     7.645E-06      6.893E-01       3.107E-01       9.554E-04      1.518E-09      1.553E+03 
20.84   24.57    100.00   3.206E-01   -5.845E-01   5.845E-01     2.399E-01     1.910E-06      6.812E-01       3.188E-01       3.805E-04      5.250E-08      1.928E+02 
33.50   34.55    100.00   2.950E-01   -1.710E-01   1.710E-01     2.570E-03     6.468E-07      5.413E-01       4.585E-01       2.194E-01      4.319E-07      2.378E+01 
42.45   49.67    100.00   -7.129E-01   -2.962E-01   2.962E-01     2.801E-03     2.380E-06      6.900E-01       3.099E-01       1.298E-05      5.704E-06      3.310E+01 
30.66   38.31    100.00   6.387E-01   8.462E-01   -8.462E-01     1.042E-01     3.603E-06      7.579E-01       2.421E-01       1.040E-05      1.365E-09      1.215E+02 
21.97   29.54    100.00   4.419E-02   9.371E-01   -9.371E-01     2.544E+00     3.280E-08      8.841E-01       1.139E-01       1.175E-05      1.669E-05      2.246E+00 
47.80   53.26    100.00   -8.533E-01   -2.394E-01   2.394E-01     4.596E-03     2.702E-06      6.456E-01       3.542E-01       5.053E-05      8.526E-06      2.663E+01 
14.64   17.34    100.00   1.196E-02   4.716E-01   -4.716E-01     6.505E-01     5.196E-09      7.766E-01       2.168E-01       2.025E-03      4.093E-05      1.053E+00 
44.26   47.22    100.00   -8.130E-01   5.923E-01   -5.923E-01     1.268E-04     2.852E-06      5.820E-01       4.179E-01       1.083E-03      5.325E-06      4.088E+01 
57.37   58.30    100.00   -3.449E-02   4.435E-01   -4.435E-01     2.026E-03     3.085E-09      3.913E-01       4.124E-01       4.093E-01      1.612E-03      2.187E-02 
54.73   56.87    100.00   -4.519E-01   -2.516E-01   2.516E-01     2.225E-03     5.807E-07      5.618E-01       4.370E-01       5.679E-03      2.944E-05      3.754E+00 
61.51   69.16    100.00   -1.360E-01   -8.908E-01   8.908E-01     3.604E-05     4.180E-08      9.174E-01       0.000E+00       9.206E-06      8.985E-04      5.214E-02 
32.55   35.94    100.00   3.191E-01   8.711E-01   -8.711E-01     1.149E-02     8.000E-07      6.298E-01       3.701E-01       5.697E-04      3.215E-07      2.744E+01 
16.64   23.14    100.00   5.636E-01   -5.599E-01   5.599E-01     5.643E+00     9.059E-06      8.098E-01       1.902E-01       2.633E-05      3.118E-10      1.310E+03 
49.19   53.28    100.00   2.390E-01   -5.416E-01   5.416E-01     3.350E-03     2.004E-07      6.455E-01       3.521E-01       2.134E-04      6.250E-06      1.775E+00 
39.20   39.88    100.00   8.495E-01   6.605E-01   -6.605E-01     3.471E-04     3.948E-06      5.229E-01       4.771E-01       2.090E+00      8.850E-08      9.371E+01 
40.45   43.97    100.00   -7.698E-01   -9.759E-01   9.759E-01     3.014E-04     3.050E-06      6.015E-01       3.984E-01       4.601E-04      3.646E-06      5.695E+01 
27.53   34.93    100.00   7.488E-01   9.871E-01   -9.871E-01     2.492E-01     6.096E-06      7.623E-01       2.377E-01       1.259E-05      8.444E-09      2.729E+02 
31.27   39.16    100.00   6.924E-01   -6.261E-01   6.261E-01     9.564E-02     4.074E-06      7.609E-01       2.391E-01       8.899E-06      7.646E-09      1.295E+02 
46.27   53.89    100.00   9.306E-01   -3.793E-01   3.793E-01     9.195E-03     3.425E-06      7.228E-01       2.770E-01       9.774E-06      4.645E-07      3.390E+01 
60.85   66.75    100.00   -4.353E-01   7.865E-01   -7.865E-01     8.965E-05     4.376E-07      9.934E-01       0.000E+00       3.316E-05      1.544E-04      6.577E-01 
12.79   13.98    100.00   -6.379E-01   -6.635E-01   6.635E-01     1.714E-01     1.903E-05      5.900E-01       4.100E-01       1.252E-01      2.658E-08      6.894E+03 
42.49   46.44    100.00   1.995E-01   -1.359E-02   1.359E-02     1.180E-04     1.860E-07      6.454E-01       3.531E-01       2.553E-04      5.732E-06      2.760E+00 
37.68   44.82    100.00   -1.086E-01   -2.532E-01   2.532E-01     6.051E-03     6.975E-08      6.353E-01       3.619E-01       1.397E-05      3.568E-05      1.541E+00 
53.47   59.64    100.00   2.094E-01   5.865E-01   -5.865E-01     1.377E-02     1.306E-07      7.578E-01       2.361E-01       2.723E-05      1.737E-05      6.996E-01 
62.03   62.43    100.00   4.967E-02   -4.532E-01   4.532E-01     5.246E-05     5.485E-09      4.251E-01       1.532E-01       3.429E+01      2.302E-03      1.015E-02 
10.76   18.73    100.00   -5.167E-01   -6.090E-01   6.090E-01     2.361E+02     1.720E-05      9.069E-01       9.310E-02       1.062E-05      2.510E-08      5.985E+03 
55.73   62.00    100.00   7.931E-01   -5.824E-02   5.824E-02     2.417E-03     1.726E-06      8.421E-01       1.572E-01       2.504E-05      1.198E-06      6.775E+00 
58.84   65.27    100.00   -4.448E-01   -2.480E-01   2.480E-01     7.500E-04     4.880E-07      9.961E-01       0.000E+00       2.190E-05      9.427E-05      1.118E+00 
11.47   11.51    100.00   -7.430E-01   2.654E-01   -2.654E-01     6.101E-02     3.161E-05      5.035E-01       4.965E-01       7.506E+06      1.255E-08      1.716E+04 
32.02   38.33    100.00   -4.810E-01   8.884E-01   -8.884E-01     5.173E-02     1.878E-06      6.941E-01       3.058E-01       2.633E-05      2.176E-06      6.124E+01 
11.97   12.58    100.00   -6.028E-01   -4.418E-01   4.418E-01     9.618E-02     1.923E-05      5.511E-01       4.489E-01       3.576E+00      2.000E-08      8.671E+03 
45.76   46.91    100.00   -7.077E-01   1.555E-01   -1.555E-01     7.681E-05     2.024E-06      5.315E-01       4.684E-01       1.350E-01      6.510E-06      2.832E+01 
60.52   64.88    100.00   -5.478E-01   -5.203E-01   5.203E-01     1.348E-04     7.003E-07      9.962E-01       0.000E+00       1.509E-04      1.106E-04      1.153E+00 
41.37   48.96    100.00   -1.839E-01   4.520E-01   -4.520E-01     1.717E-03     1.666E-07      6.617E-01       3.366E-01       1.018E-05      2.502E-05      2.631E+00 
59.13   59.14    100.00   9.910E-01   -6.094E-01   6.094E-01     9.250E-04     2.399E-06      5.002E-01       4.994E-01       1.911E+10      2.494E-06      1.046E+01 
30.88   38.74    100.00   -7.296E-01   1.927E-01   -1.927E-01     1.089E-01     4.634E-06      7.419E-01       2.580E-01       9.084E-06      1.295E-06      1.564E+02 
60.37   67.91    100.00   1.031E-01   -7.890E-01   7.890E-01     1.956E-04     2.495E-08      9.087E-01       0.000E+00       9.850E-06      4.017E-04      4.683E-02 
37.72   41.59    100.00   4.223E-01   5.083E-01   -5.083E-01     1.980E-03     1.052E-06      6.338E-01       3.660E-01       2.913E-04      1.294E-07      2.321E+01 
18.26   20.82    100.00   1.622E-01   1.306E-01   -1.306E-01     1.821E-01     6.293E-07      6.470E-01       3.529E-01       2.529E-03      2.632E-07      9.173E+01 
50.51   58.36    100.00   -6.725E-01   5.341E-01   -5.341E-01     9.492E-03     1.506E-06      7.200E-01       2.796E-01       8.267E-06      1.573E-05      1.080E+01 
53.32   57.92    100.00   -8.166E-01   9.207E-01   -9.207E-01     3.527E-03     1.997E-06      6.410E-01       3.587E-01       1.167E-04      1.635E-05      1.280E+01 
29.33   30.38    100.00   -4.071E-01   8.395E-01   -8.395E-01     5.979E-03     1.595E-06      5.382E-01       4.618E-01       2.218E-01      1.369E-06      8.542E+01 
14.51   20.63    100.00   -3.997E-01   5.942E-01   -5.942E-01     1.008E+01     5.899E-06      8.104E-01       1.896E-01       3.648E-05      1.031E-07      1.168E+03 
32.53   37.94    100.00   -3.134E-01   -9.794E-01   9.794E-01     3.343E-02     7.725E-07      6.619E-01       3.379E-01       5.615E-05      3.755E-06      2.525E+01 
19.09   19.19    100.00   -2.565E-01   -3.263E-01   3.263E-01     1.877E-02     1.446E-06      5.054E-01       4.946E-01       5.618E+04      3.622E-07      2.430E+02 
33.41   38.24    100.00   -7.514E-01   7.505E-02   -7.505E-02     1.853E-02     4.220E-06      6.538E-01       3.462E-01       9.673E-05      1.602E-06      1.295E+02 
56.78   64.24    100.00   -1.467E-01   -6.251E-01   6.251E-01     6.713E-03     5.694E-08      9.751E-01       0.000E+00       1.047E-05      2.961E-04      1.733E-01 
10.24   17.75    100.00   -1.452E-01   -3.905E-01   3.905E-01     3.548E+01     1.487E-06      8.989E-01       1.011E-01       1.429E-05      1.177E-07      5.832E+02 
27.21   28.53    100.00   2.435E-01   3.421E-01   -3.421E-01     1.041E-02     6.597E-07      5.593E-01       4.406E-01       6.812E-02      3.652E-07      4.154E+01 
13.19   15.98    100.00   7.509E-01   -1.350E-01   1.350E-01     1.198E+00     2.490E-05      6.913E-01       3.087E-01       1.757E-03      2.453E-10      7.183E+03 
61.54   62.59    100.00   -4.802E-01   -7.882E-01   7.882E-01     5.459E-05     5.208E-07      9.926E-01       0.000E+00       2.110E-01      1.866E-04      5.938E-01 
31.09   35.57    100.00   5.169E-01   6.568E-01   -6.568E-01     2.964E-02     2.296E-06      6.655E-01       3.344E-01       1.433E-04      9.276E-09      8.479E+01 
35.80   41.81    100.00   1.014E-01   8.376E-01   -8.376E-01     1.340E-02     6.718E-08      7.535E-01       2.435E-01       3.271E-05      1.864E-05      1.461E+00 
55.40   58.47    100.00   -9.535E-02   -2.706E-02   2.706E-02     4.184E-03     2.525E-08      5.396E-01       4.335E-01       8.766E-04      2.785E-04      1.598E-01 
28.34   29.27    100.00   9.537E-01   -5.505E-01   5.505E-01     6.769E-03     9.354E-06      5.382E-01       4.618E-01       4.052E-01      2.527E-08      5.496E+02 
56.19   60.43    100.00   5.879E-01   -7.205E-01   7.205E-01     2.785E-03     9.334E-07      6.966E-01       3.024E-01       1.741E-04      1.068E-07      4.231E+00 
60.65   60.96    100.00   -9.542E-01   4.466E-01   -4.466E-01     3.747E-04     2.116E-06      5.248E-01       4.745E-01       1.366E+02      3.836E-05      6.375E+00 
27.58   30.45    100.00   4.460E-02   7.712E-01   -7.712E-01     2.853E-02     2.155E-08      6.718E-01       3.241E-01       1.358E-03      3.320E-05      1.090E+00 
19.06   20.19    100.00   9.272E-01   2.497E-01   -2.497E-01     3.936E-02     1.895E-05      5.624E-01       4.376E-01       1.539E-01      3.752E-09      2.872E+03 
23.28   31.09    100.00   -7.290E-01   -5.405E-01   5.405E-01     9.664E-01     7.989E-06      7.822E-01       2.178E-01       9.953E-06      3.856E-07      5.358E+02 
56.84   57.50    100.00   -5.705E-01   3.723E-01   -3.723E-01     1.413E-03     8.594E-07      5.216E-01       4.775E-01       2.483E+00      2.817E-05      4.856E+00 
17.83   19.32    100.00   7.784E-01   -6.561E-01   6.561E-01     7.204E-02     1.517E-05      5.859E-01       4.141E-01       3.898E-02      1.086E-09      2.583E+03 
59.47   61.42    100.00   -7.729E-01   -7.093E-02   7.093E-02     5.091E-04     1.443E-06      6.415E-01       3.575E-01       8.839E-03      4.083E-05      4.630E+00 
12.29   14.71    100.00   6.320E-02   -9.856E-01   9.856E-01     1.004E+00     2.013E-07      6.933E-01       3.066E-01       3.634E-03      5.370E-07      6.791E+01 
11.38   12.83    100.00   -7.268E-01   -6.763E-01   6.763E-01     3.831E-01     3.066E-05      6.195E-01       3.805E-01       4.836E-02      1.528E-08      1.376E+04 
54.42   56.84    100.00   -1.595E-01   -8.782E-01   8.782E-01     2.818E-03     7.320E-08      5.477E-01       4.437E-01       2.981E-03      1.096E-04      4.992E-01 
57.88   58.98    100.00   6.559E-01   6.025E-01   -6.025E-01     1.222E-03     1.096E-06      5.508E-01       4.484E-01       1.682E-01      4.166E-07      5.190E+00 
39.24   41.25    100.00   9.640E-01   3.410E-01   -3.410E-01     4.364E-04     5.074E-06      5.668E-01       4.331E-01       7.855E-03      1.522E-07      1.107E+02 
13.19   19.27    100.00   -1.708E-01   1.847E-01   -1.847E-01     7.727E+00     1.288E-06      8.197E-01       1.803E-01       3.839E-05      2.324E-07      3.134E+02 
49.47   55.82    100.00   4.464E-02   7.768E-01   -7.768E-01     1.361E-02     6.915E-09      8.186E-01       9.068E-02       2.389E-05      6.169E-04      4.727E-02 
21.91   28.32    100.00   -5.307E-01   2.943E-01   -2.943E-01     7.978E-01     4.755E-06      7.516E-01       2.484E-01       2.642E-05      3.912E-07      3.851E+02 
25.16   31.36    100.00   -2.789E-01   -7.664E-01   7.664E-01     2.731E-01     1.007E-06      7.166E-01       2.833E-01       3.031E-05      1.498E-06      6.055E+01 
54.85   55.91    100.00   8.432E-01   6.726E-01   -6.726E-01     1.347E-03     2.014E-06      5.369E-01       4.628E-01       2.027E-01      8.327E-07      1.348E+01 
59.79   66.70    100.00   -2.048E-01   -2.741E-01   2.741E-01     3.573E-04     1.003E-07      9.783E-01       0.000E+00       1.529E-05      2.954E-04      1.985E-01 
47.01   48.68    100.00   9.159E-01   -5.454E-01   5.454E-01     2.938E-04     3.216E-06      5.516E-01       4.482E-01       2.076E-02      3.734E-07      3.940E+01 
18.38   20.97    100.00   4.290E-01   -2.114E-01   2.114E-01     1.882E-01     4.346E-06      6.414E-01       3.586E-01       2.411E-03      6.730E-09      6.286E+02 
42.41   44.49    100.00   -2.977E-01   9.558E-01   -9.558E-01     4.854E-05     4.157E-07      5.528E-01       4.466E-01       6.686E-03      1.194E-05      7.242E+00 
44.01   45.86    100.00   -8.813E-01   1.389E-01   -1.389E-01     2.839E-05     3.389E-06      5.521E-01       4.478E-01       1.226E-02      4.597E-06      5.221E+01 
20.88   21.00    100.00   4.525E-01   2.097E-01   -2.097E-01     1.466E-02     3.791E-06      5.064E-01       4.935E-01       2.043E+04      6.109E-09      5.126E+02 
50.40   51.06    100.00   -2.193E-01   4.548E-01   -4.548E-01     5.730E-04     1.609E-07      5.129E-01       4.844E-01       2.279E+00      4.107E-05      1.633E+00 
43.63   47.39    100.00   6.200E-01   -2.899E-01   2.899E-01     1.688E-04     1.706E-06      6.197E-01       3.802E-01       3.276E-04      1.290E-08      2.412E+01 
58.92   62.78    100.00   -9.205E-01   -4.340E-01   4.340E-01     4.475E-04     2.085E-06      9.990E-01       0.000E+00       2.810E-04      5.011E-05      4.704E+00 
21.01   21.87    100.00   2.927E-01   -4.618E-01   4.618E-01     2.191E-02     1.567E-06      5.456E-01       4.543E-01       6.155E-01      6.247E-08      1.936E+02 
16.91   23.98    100.00   4.564E-01   7.156E-01   -7.156E-01     5.220E+00     5.767E-06      8.252E-01       1.748E-01       1.738E-05      4.028E-09      7.888E+02 
12.11   14.18    100.00   -6.212E-01   -1.389E-01   1.389E-01     7.233E-01     1.997E-05      6.560E-01       3.440E-01       8.049E-03      2.426E-08      7.359E+03 
58.16   63.17    100.00   9.399E-01   4.545E-01   -4.545E-01     6.957E-04     2.230E-06      9.992E-01       0.000E+00       7.544E-05      3.638E-06      5.616E+00 
36.65   43.96    100.00   -3.678E-01   9.483E-02   -9.483E-02     1.162E-02     8.437E-07      6.961E-01       3.037E-01       1.258E-05      5.640E-06      1.850E+01 
60.57   63.82    100.00   7.665E-01   2.192E-01   -2.192E-01     1.334E-04     1.369E-06      9.981E-01       0.000E+00       6.617E-04      3.461E-06      2.218E+00 
26.94   33.40    100.00   -1.111E-01   -8.981E-01   8.981E-01     3.111E-01     1.400E-07      6.849E-01       3.145E-01       2.448E-05      8.014E-06      7.388E+00 
18.26   23.89    100.00   -6.159E-01   -3.067E-01   3.067E-01     2.165E+00     9.076E-06      7.579E-01       2.421E-01       5.134E-05      1.552E-07      1.130E+03 
54.44   54.86    100.00   6.088E-01   6.329E-01   -6.329E-01     1.147E-03     1.065E-06      5.143E-01       4.851E-01       2.578E+01      8.818E-08      7.724E+00 
44.17   46.47    100.00   3.983E-01   9.338E-01   -9.338E-01     4.946E-05     6.874E-07      5.771E-01       4.225E-01       3.921E-03      3.226E-07      1.001E+01 
48.99   55.38    100.00   -3.971E-01   2.519E-01   -2.519E-01     1.047E-02     5.575E-07      6.583E-01       3.408E-01       2.321E-05      2.092E-05      4.918E+00 
19.77   25.62    100.00   5.667E-01   2.612E-01   -2.612E-01     1.352E+00     6.599E-06      7.629E-01       2.371E-01       4.240E-05      4.724E-10      6.751E+02 
39.62   47.13    100.00   -6.947E-01   5.123E-01   -5.123E-01     1.895E-03     2.587E-06      7.026E-01       2.973E-01       1.083E-05      4.204E-06      4.419E+01 
59.04   60.10    100.00   -3.189E-01   4.771E-01   -4.771E-01     1.066E-03     2.492E-07      5.488E-01       4.469E-01       2.079E-01      7.905E-05      1.004E+00 
37.53   42.32    100.00   -1.843E-01   -5.529E-01   5.529E-01     3.127E-03     2.024E-07      6.171E-01       3.820E-01       9.962E-05      1.454E-05      4.659E+00 
16.25   18.71    100.00   -9.182E-01   -1.592E-01   1.592E-01     3.064E-01     2.517E-05      6.440E-01       3.560E-01       3.114E-03      5.626E-08      4.838E+03 
30.85   31.81    100.00   -6.416E-01   -6.392E-01   6.392E-01     4.319E-03     3.592E-06      5.348E-01       4.652E-01       3.336E-01      1.047E-06      1.687E+02 
42.98   45.51    100.00   7.987E-01   5.618E-01   -5.618E-01     4.471E-05     2.915E-06      5.806E-01       4.193E-01       2.445E-03      1.298E-07      4.624E+01 
13.62   13.66    100.00   -3.669E-01   -1.812E-01   1.812E-01     4.218E-02     5.601E-06      5.034E-01       4.965E-01       3.433E+06      5.474E-08      2.064E+03 
37.81   39.96    100.00   7.279E-01   8.752E-01   -8.752E-01     1.002E-03     3.110E-06      5.736E-01       4.264E-01       5.625E-03      3.149E-08      7.527E+01 
19.47   24.36    100.00   4.771E-01   -5.575E-01   5.575E-01     8.407E-01     4.819E-06      7.328E-01       2.672E-01       1.016E-04      4.380E-09      5.328E+02 
45.17   48.60    100.00   5.877E-01   6.983E-01   -6.983E-01     4.693E-04     1.432E-06      6.090E-01       3.907E-01       5.177E-04      3.788E-09      1.829E+01 
52.51   54.41    100.00   7.213E-01   4.183E-01   -4.183E-01     1.508E-03     1.605E-06      5.622E-01       4.374E-01       1.039E-02      3.042E-07      1.255E+01 
56.93   57.62    100.00   8.761E-01   -5.792E-01   5.792E-01     1.255E-03     2.021E-06      5.275E-01       4.721E-01       1.773E+00      1.282E-06      1.119E+01 
34.95   35.16    100.00   9.022E-01   -3.216E-01   3.216E-01     1.433E-03     5.570E-06      5.076E-01       4.924E-01       9.748E+02      5.739E-08      1.930E+02 
50.38   51.53    100.00   -8.910E-01   1.525E-02   -1.525E-02     7.081E-04     2.657E-06      5.315E-01       4.683E-01       1.325E-01      9.070E-06      2.607E+01 
19.49   19.77    100.00   2.958E-02   9.492E-01   -9.492E-01     1.899E-02     1.849E-08      5.209E-01       4.772E-01       2.041E+02      1.391E-05      2.868E+00 
37.29   42.84    100.00   -2.776E-01   -2.391E-01   2.391E-01     4.710E-03     4.649E-07      6.469E-01       3.526E-01       4.804E-05      8.189E-06      1.041E+01 
26.42   28.80    100.00   -6.687E-02   -4.984E-01   4.984E-01     2.586E-02     5.267E-08      5.650E-01       4.337E-01       3.491E-03      1.475E-05      3.545E+00 
58.99   66.85    100.00   9.788E-01   7.685E-01   -7.685E-01     4.075E-04     2.351E-06      9.992E-01       0.000E+00       8.021E-06      4.712E-06      5.247E+00 
27.20   27.93    100.00   -8.051E-01   -2.358E-01   2.358E-01     7.391E-03     7.217E-06      5.294E-01       4.706E-01       1.424E+00      4.753E-07      4.806E+02 
34.58   40.82    100.00   -3.459E-03   9.660E-01   -9.660E-01     2.676E-02     8.358E-11      5.656E-02       7.819E-01       2.758E-05      1.514E-03      2.681E-02 
15.61   17.80    100.00   -8.457E-01   -6.392E-02   6.392E-02     2.710E-01     2.302E-05      6.336E-01       3.664E-01       5.735E-03      5.017E-08      4.932E+03 
