 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
22.48   30.45    100.00   8.599E-01   -6.086E-01   6.086E-01     1.519E+00     1.188E-05      8.033E-01       1.967E-01       9.117E-06      8.079E-09      8.461E+02 
29.50   34.60    100.00   -1.571E-01   -1.615E-01   1.615E-01     7.289E-02     2.347E-07      6.504E-01       3.492E-01       7.588E-05      6.457E-06      1.024E+01 
28.19   32.50    100.00   9.364E-01   5.094E-01   -5.094E-01     6.148E-02     9.109E-06      6.650E-01       3.350E-01       1.762E-04      2.853E-08      4.391E+02 
41.68   48.49    100.00   -2.489E-01   2.991E-01   -2.991E-01     9.772E-04     3.007E-07      6.584E-01       3.407E-01       1.743E-05      1.663E-05      4.656E+00 
16.68   20.68    100.00   -3.791E-01   9.349E-01   -9.349E-01     1.088E+00     4.081E-06      7.089E-01       2.911E-01       2.819E-04      1.715E-07      6.705E+02 
14.00   21.12    100.00   1.766E-01   -9.876E-01   9.876E-01     5.585E+00     1.231E-06      8.626E-01       1.373E-01       1.763E-05      9.321E-08      2.482E+02 
28.44   32.09    100.00   -9.177E-01   5.454E-01   -5.454E-01     3.841E-02     8.602E-06      6.339E-01       3.661E-01       4.020E-04      6.247E-07      4.250E+02 
57.08   58.85    100.00   6.872E-01   7.298E-01   -7.298E-01     1.484E-03     1.237E-06      5.770E-01       4.223E-01       1.457E-02      5.095E-07      6.155E+00 
37.90   42.54    100.00   5.794E-01   8.140E-01   -8.140E-01     2.310E-03     1.962E-06      6.544E-01       3.455E-01       1.165E-04      6.399E-11      4.130E+01 
55.04   57.89    100.00   -3.415E-01   -6.633E-01   6.633E-01     3.213E-03     3.281E-07      5.832E-01       4.146E-01       1.276E-03      4.371E-05      1.987E+00 
49.91   53.12    100.00   7.400E-01   -3.031E-01   3.031E-01     2.013E-03     1.867E-06      6.010E-01       3.988E-01       7.185E-04      2.517E-07      1.680E+01 
49.46   55.53    100.00   -1.775E-01   5.856E-01   -5.856E-01     1.111E-02     1.093E-07      6.205E-01       3.751E-01       2.987E-05      6.132E-05      9.862E-01 
15.12   18.54    100.00   1.789E-02   8.822E-01   -8.822E-01     1.181E+00     1.094E-08      7.925E-01       2.043E-01       6.222E-04      2.093E-05      2.016E+00 
56.22   62.81    100.00   -8.679E-01   3.400E-01   -3.400E-01     1.687E-03     2.033E-06      9.993E-01       0.000E+00       1.947E-05      3.467E-05      6.406E+00 
36.21   40.92    100.00   3.059E-01   6.571E-01   -6.571E-01     6.230E-03     5.976E-07      6.684E-01       3.313E-01       1.092E-04      6.441E-07      1.415E+01 
52.49   56.63    100.00   -2.436E-01   3.586E-01   -3.586E-01     5.254E-03     1.833E-07      5.980E-01       3.988E-01       1.988E-04      5.192E-05      1.350E+00 
43.30   48.24    100.00   8.673E-02   -9.090E-01   9.090E-01     5.102E-04     3.388E-08      7.202E-01       2.697E-01       8.406E-05      6.291E-05      4.230E-01 
27.45   31.51    100.00   3.616E-03   6.825E-01   -6.825E-01     6.789E-02     1.431E-10      3.650E-01       3.042E-01       2.378E-04      3.090E-03      1.349E-02 
27.17   29.80    100.00   2.363E-01   -2.139E-01   2.139E-01     2.565E-02     6.232E-07      6.153E-01       3.846E-01       2.076E-03      4.408E-07      3.580E+01 
46.17   50.16    100.00   8.757E-01   -3.163E-01   3.163E-01     1.263E-03     3.046E-06      6.222E-01       3.777E-01       2.429E-04      3.231E-07      3.529E+01 
26.76   27.85    100.00   -5.755E-01   3.950E-01   -3.950E-01     9.740E-03     3.805E-06      5.436E-01       4.563E-01       1.815E-01      6.235E-07      2.574E+02 
35.34   38.94    100.00   3.908E-01   -9.479E-01   9.479E-01     5.390E-03     1.023E-06      6.297E-01       3.701E-01       4.191E-04      1.646E-07      2.765E+01 
15.26   21.89    100.00   2.267E-01   2.042E-01   -2.042E-01     4.082E+00     1.726E-06      8.335E-01       1.665E-01       2.452E-05      6.132E-08      2.959E+02 
30.81   38.77    100.00   -2.174E-01   -9.710E-01   9.710E-01     1.747E-01     4.132E-07      7.220E-01       2.777E-01       8.509E-06      5.307E-06      1.443E+01 
29.09   29.71    100.00   7.778E-01   -3.972E-01   3.972E-01     5.105E-03     5.915E-06      5.254E-01       4.746E-01       3.260E+00      1.042E-08      3.320E+02 
62.31   68.22    100.00   -2.958E-01   -5.828E-01   5.828E-01     5.166E-06     1.929E-07      9.572E-01       0.000E+00       3.289E-05      7.180E-04      1.011E-01 
