 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
1958.54   1971.41    1977.63   1.958E+00   -1.785E-01   1.785E-01     1.172E-01     8.802E-09      0.000E+00       0.000E+00       0.000E+00      2.305E-03      4.268E-03 
1293.54   1298.43    1306.81   2.043E-01   5.301E-01   -5.301E-01     1.175E-01     2.196E-10      0.000E+00       0.000E+00       0.000E+00      2.365E-03      4.268E-03 
1601.70   1604.66    1612.11   -4.342E-01   6.950E-02   -6.950E-02     1.191E-01     6.472E-10      0.000E+00       0.000E+00       0.000E+00      2.370E-03      4.268E-03 
1610.73   1624.18    1627.36   8.311E-01   -2.650E-02   2.650E-02     1.180E-01     2.344E-09      0.000E+00       0.000E+00       0.000E+00      2.337E-03      4.268E-03 
1261.60   1261.95    1268.58   -5.279E-01   8.106E-01   -8.106E-01     1.180E-01     1.541E-09      0.000E+00       0.000E+00       0.000E+00      2.384E-03      4.268E-03 
1531.55   1539.95    1548.03   6.205E-01   -3.059E-01   3.059E-01     1.173E-01     1.445E-09      0.000E+00       0.000E+00       0.000E+00      2.349E-03      4.268E-03 
1387.59   1403.79    1396.82   1.280E+00   4.366E-01   -4.366E-01     1.195E-01     7.492E-09      0.000E+00       0.000E+00       0.000E+00      2.254E-03      4.267E-03 
1834.97   1847.10    1853.07   1.044E+00   3.438E-01   -3.438E-01     1.194E-01     2.848E-09      0.000E+00       0.000E+00       0.000E+00      2.334E-03      4.268E-03 
1151.32   1158.87    1162.62   9.148E-01   7.228E-01   -7.228E-01     1.183E-01     5.557E-09      0.000E+00       0.000E+00       0.000E+00      2.281E-03      4.267E-03 
1845.83   1854.67    1864.57   1.678E+00   6.212E-01   -6.212E-01     1.172E-01     7.282E-09      0.000E+00       0.000E+00       0.000E+00      2.312E-03      4.268E-03 
1681.01   1691.96    1696.45   4.401E-01   5.339E-01   -5.339E-01     1.183E-01     6.036E-10      0.000E+00       0.000E+00       0.000E+00      2.350E-03      4.268E-03 
1833.65   1844.12    1850.23   2.058E+00   5.269E-01   -5.269E-01     1.177E-01     1.109E-08      0.000E+00       0.000E+00       0.000E+00      2.284E-03      4.267E-03 
1138.72   1150.89    1147.92   2.402E-01   -9.305E-01   9.305E-01     1.180E-01     3.915E-10      0.000E+00       0.000E+00       0.000E+00      2.335E-03      4.268E-03 
1421.23   1437.98    1425.14   6.398E-02   -8.250E-01   8.250E-01     1.195E-01     1.784E-11      0.000E+00       0.000E+00       0.000E+00      2.305E-03      4.268E-03 
1704.75   1708.97    1717.73   1.838E+00   9.791E-01   -9.791E-01     1.174E-01     1.024E-08      0.000E+00       0.000E+00       0.000E+00      2.268E-03      4.267E-03 
1624.15   1638.86    1635.62   1.814E-01   8.616E-01   -8.616E-01     1.187E-01     1.098E-10      0.000E+00       0.000E+00       0.000E+00      2.342E-03      4.268E-03 
1929.74   1942.08    1943.80   2.349E+00   7.721E-01   -7.721E-01     1.192E-01     1.305E-08      0.000E+00       0.000E+00       0.000E+00      2.265E-03      4.267E-03 
