 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
75.44   658.79    825.41   5.464E-03   -8.874E-01   8.874E-01     1.174E-01     4.510E-11      0.000E+00       0.000E+00       0.000E+00      9.546E-03      4.299E-03 
73.45   569.20    788.52   -3.794E-02   -5.993E-01   5.993E-01     1.189E-01     2.293E-09      0.000E+00       0.000E+00       0.000E+00      9.563E-03      4.299E-03 
73.40   658.20    382.60   -3.825E-02   -3.004E-01   3.004E-01     1.194E-01     2.334E-09      0.000E+00       0.000E+00       0.000E+00      9.388E-03      4.298E-03 
73.85   215.36    180.64   -1.800E-02   -5.889E-01   5.889E-01     1.183E-01     5.108E-10      0.000E+00       0.000E+00       0.000E+00      8.400E-03      4.294E-03 
74.03   387.09    998.00   -2.875E-02   -5.558E-01   5.558E-01     1.179E-01     1.296E-09      0.000E+00       0.000E+00       0.000E+00      9.580E-03      4.299E-03 
73.01   626.10    934.77   -4.499E-02   -4.338E-01   4.338E-01     1.180E-01     3.263E-09      0.000E+00       0.000E+00       0.000E+00      9.582E-03      4.299E-03 
73.32   410.99    472.38   -4.090E-02   -5.388E-01   5.388E-01     1.178E-01     2.674E-09      0.000E+00       0.000E+00       0.000E+00      9.471E-03      4.298E-03 
73.83   196.59    462.46   -3.259E-02   -8.497E-01   8.497E-01     1.172E-01     1.675E-09      0.000E+00       0.000E+00       0.000E+00      9.450E-03      4.298E-03 
74.94   932.51    483.93   -8.398E-03   1.365E-02   -1.365E-02     1.173E-01     1.080E-10      0.000E+00       0.000E+00       0.000E+00      9.428E-03      4.298E-03 
73.53   543.67    555.26   -3.642E-02   8.592E-01   -8.592E-01     1.193E-01     2.108E-09      0.000E+00       0.000E+00       0.000E+00      9.506E-03      4.299E-03 
74.75   324.69    415.55   -1.114E-02   2.005E-01   -2.005E-01     1.190E-01     1.910E-10      0.000E+00       0.000E+00       0.000E+00      9.366E-03      4.298E-03 
73.25   317.17    147.72   -2.059E-02   -2.034E-01   2.034E-01     1.173E-01     6.792E-10      0.000E+00       0.000E+00       0.000E+00      7.879E-03      4.292E-03 
74.05   187.63    386.63   -2.732E-02   -2.793E-02   2.793E-02     1.178E-01     1.170E-09      0.000E+00       0.000E+00       0.000E+00      9.365E-03      4.298E-03 
72.78   838.64    656.31   -4.841E-02   -2.899E-01   2.899E-01     1.176E-01     3.801E-09      0.000E+00       0.000E+00       0.000E+00      9.548E-03      4.299E-03 
73.42   187.50    267.64   -3.709E-02   4.825E-01   -4.825E-01     1.191E-01     2.193E-09      0.000E+00       0.000E+00       0.000E+00      9.143E-03      4.297E-03 
64.48   602.74    305.17   4.973E-02   4.644E-01   -4.644E-01     1.196E-01     5.094E-09      0.000E+00       0.000E+00       0.000E+00      9.116E-03      4.297E-03 
75.41   744.69    439.82   7.633E-03   -3.653E-02   3.653E-02     1.180E-01     8.812E-11      0.000E+00       0.000E+00       0.000E+00      9.361E-03      4.298E-03 
65.80   420.77    78.80   -1.502E-02   -9.775E-01   9.775E-01     1.190E-01     4.466E-10      0.000E+00       0.000E+00       0.000E+00      4.959E-03      4.279E-03 
73.32   727.50    323.63   -3.983E-02   8.786E-01   -8.786E-01     1.188E-01     2.535E-09      0.000E+00       0.000E+00       0.000E+00      9.301E-03      4.298E-03 
75.63   374.44    344.59   2.079E-02   -5.985E-01   5.985E-01     1.178E-01     6.498E-10      0.000E+00       0.000E+00       0.000E+00      9.166E-03      4.297E-03 
74.72   382.30    684.66   -1.324E-02   -9.908E-01   9.908E-01     1.189E-01     2.700E-10      0.000E+00       0.000E+00       0.000E+00      9.526E-03      4.299E-03 
74.58   532.04    598.24   -1.606E-02   6.904E-01   -6.904E-01     1.195E-01     3.989E-10      0.000E+00       0.000E+00       0.000E+00      9.501E-03      4.299E-03 
75.64   722.37    761.87   1.452E-02   4.034E-01   -4.034E-01     1.192E-01     3.170E-10      0.000E+00       0.000E+00       0.000E+00      9.528E-03      4.299E-03 
65.56   76.17    827.18   -1.211E-02   -1.478E-03   1.478E-03     1.177E-01     2.923E-10      0.000E+00       0.000E+00       0.000E+00      9.573E-03      4.299E-03 
75.07   351.73    939.13   -5.091E-03   -9.091E-01   9.091E-01     1.183E-01     3.955E-11      0.000E+00       0.000E+00       0.000E+00      9.566E-03      4.299E-03 
75.94   637.67    859.93   2.578E-02   -2.956E-01   2.956E-01     1.185E-01     9.914E-10      0.000E+00       0.000E+00       0.000E+00      9.542E-03      4.299E-03 
64.30   447.01    615.91   -3.654E-02   5.376E-01   -5.376E-01     1.189E-01     2.766E-09      0.000E+00       0.000E+00       0.000E+00      9.560E-03      4.299E-03 
63.08   910.20    814.33   2.044E-02   -6.015E-01   6.015E-01     1.194E-01     8.989E-10      0.000E+00       0.000E+00       0.000E+00      9.562E-03      4.299E-03 
63.42   79.78    304.89   -2.201E-02   -9.319E-01   9.319E-01     1.194E-01     1.031E-09      0.000E+00       0.000E+00       0.000E+00      9.349E-03      4.298E-03 
64.89   403.14    373.74   -4.455E-02   3.143E-01   -3.143E-01     1.183E-01     4.037E-09      0.000E+00       0.000E+00       0.000E+00      9.472E-03      4.298E-03 
65.09   420.11    143.47   -4.829E-02   2.394E-01   -2.394E-01     1.177E-01     4.714E-09      0.000E+00       0.000E+00       0.000E+00      8.670E-03      4.295E-03 
62.76   899.54    484.19   1.217E-02   5.332E-01   -5.332E-01     1.193E-01     3.216E-10      0.000E+00       0.000E+00       0.000E+00      9.473E-03      4.298E-03 
75.80   911.13    855.79   1.924E-02   -2.224E-01   2.224E-01     1.178E-01     5.543E-10      0.000E+00       0.000E+00       0.000E+00      9.544E-03      4.299E-03 
63.18   464.62    354.75   2.258E-02   -6.634E-01   6.634E-01     1.192E-01     1.093E-09      0.000E+00       0.000E+00       0.000E+00      9.320E-03      4.298E-03 
72.78   409.60    392.63   -4.798E-02   1.003E-01   -1.003E-01     1.189E-01     3.734E-09      0.000E+00       0.000E+00       0.000E+00      9.423E-03      4.298E-03 
72.71   900.73    800.21   -4.785E-02   -4.452E-01   4.452E-01     1.194E-01     3.721E-09      0.000E+00       0.000E+00       0.000E+00      9.571E-03      4.299E-03 
73.37   90.04    171.94   1.640E-02   -1.436E-01   1.436E-01     1.179E-01     4.296E-10      0.000E+00       0.000E+00       0.000E+00      7.981E-03      4.292E-03 
73.36   306.89    154.58   -2.197E-02   4.171E-01   -4.171E-01     1.176E-01     7.705E-10      0.000E+00       0.000E+00       0.000E+00      8.037E-03      4.292E-03 
65.04   640.76    303.62   -4.672E-02   5.868E-01   -5.868E-01     1.174E-01     4.420E-09      0.000E+00       0.000E+00       0.000E+00      9.401E-03      4.298E-03 
71.56   490.42    103.25   1.110E-02   -7.879E-01   7.879E-01     1.181E-01     2.066E-10      0.000E+00       0.000E+00       0.000E+00      5.593E-03      4.282E-03 
73.43   609.99    319.09   -3.795E-02   -7.256E-02   7.256E-02     1.190E-01     2.295E-09      0.000E+00       0.000E+00       0.000E+00      9.286E-03      4.298E-03 
75.53   599.59    394.75   1.404E-02   -2.080E-01   2.080E-01     1.185E-01     2.972E-10      0.000E+00       0.000E+00       0.000E+00      9.286E-03      4.298E-03 
73.65   838.03    320.98   -3.449E-02   -4.094E-01   4.094E-01     1.186E-01     1.885E-09      0.000E+00       0.000E+00       0.000E+00      9.277E-03      4.298E-03 
72.86   814.95    123.39   2.710E-02   -2.751E-01   2.751E-01     1.173E-01     1.189E-09      0.000E+00       0.000E+00       0.000E+00      6.375E-03      4.285E-03 
64.00   283.14    810.74   4.076E-02   9.679E-01   -9.679E-01     1.180E-01     3.473E-09      0.000E+00       0.000E+00       0.000E+00      9.551E-03      4.299E-03 
74.41   508.94    826.62   -2.130E-02   -8.640E-02   8.640E-02     1.180E-01     7.048E-10      0.000E+00       0.000E+00       0.000E+00      9.559E-03      4.299E-03 
72.79   495.94    682.28   -4.844E-02   -6.525E-01   6.525E-01     1.175E-01     3.806E-09      0.000E+00       0.000E+00       0.000E+00      9.554E-03      4.299E-03 
75.42   468.93    513.58   7.285E-03   8.049E-01   -8.049E-01     1.185E-01     8.024E-11      0.000E+00       0.000E+00       0.000E+00      9.429E-03      4.298E-03 
73.86   310.09    331.43   -3.139E-02   9.212E-01   -9.212E-01     1.178E-01     1.553E-09      0.000E+00       0.000E+00       0.000E+00      9.287E-03      4.298E-03 
64.67   583.78    287.07   -4.205E-02   8.296E-01   -8.296E-01     1.178E-01     3.622E-09      0.000E+00       0.000E+00       0.000E+00      9.365E-03      4.298E-03 
73.16   431.71    838.67   -4.354E-02   -7.560E-02   7.560E-02     1.172E-01     3.044E-09      0.000E+00       0.000E+00       0.000E+00      9.573E-03      4.299E-03 
73.24   729.77    576.85   -4.225E-02   -3.876E-01   3.876E-01     1.174E-01     2.859E-09      0.000E+00       0.000E+00       0.000E+00      9.521E-03      4.299E-03 
