 Mv1   Mvp      cs_(pb)   
 86.0    75.0    9.5090E+00 
 86.0    80.0    5.4250E+00 
 86.0    85.0    2.5517E+00 
 86.0    90.0    6.9690E-01 
 91.0    45.0    1.1039E+02 
 91.0    50.0    7.3593E+01 
 91.0    55.0    4.9946E+01 
 91.0    60.0    3.4062E+01 
 91.0    65.0    2.3027E+01 
 91.0    70.0    1.5174E+01 
 91.0    75.0    9.5090E+00 
 91.0    80.0    5.4250E+00 
 91.0    85.0    2.5517E+00 
 91.0    90.0    6.9690E-01 
