 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
51.00    52.00    52.00     -1.000E+00     8.771E-04     3.268E-06     2.701E-27      2.714E-01      2.428E-01        4.857E-01       5.973E-05      5.979E+01
52.00    53.00    53.00     -1.000E+00     1.008E-03     3.146E-06     4.522E-27      2.716E-01      2.427E-01        4.855E-01       6.443E-05      5.309E+01
53.00    54.00    54.00     -1.000E+00     1.125E-03     3.030E-06     7.529E-27      2.721E-01      2.426E-01        4.852E-01       6.965E-05      4.702E+01
54.00    55.00    55.00     -1.000E+00     1.225E-03     2.921E-06     1.261E-26      2.728E-01      2.423E-01        4.847E-01       7.554E-05      4.151E+01
55.00    56.00    56.00     -1.000E+00     1.301E-03     2.817E-06     2.101E-26      2.739E-01      2.420E-01        4.839E-01       8.235E-05      3.645E+01
56.00    57.00    57.00     -1.000E+00     1.345E-03     2.719E-06     3.552E-26      2.757E-01      2.414E-01        4.827E-01       9.046E-05      3.175E+01
57.00    58.00    58.00     -1.000E+00     1.343E-03     2.626E-06     6.121E-26      2.784E-01      2.405E-01        4.809E-01       1.006E-04      2.732E+01
58.00    59.00    59.00     -1.000E+00     1.278E-03     2.538E-06     1.096E-25      2.828E-01      2.390E-01        4.779E-01       1.140E-04      2.305E+01
59.00    60.00    60.00     -1.000E+00     1.122E-03     2.454E-06     2.104E-25      2.908E-01      2.363E-01        4.725E-01       1.337E-04      1.879E+01
60.00    61.00    61.00     -1.000E+00     8.466E-04     2.374E-06     4.606E-25      3.084E-01      2.304E-01        4.607E-01       1.681E-04      1.427E+01
61.00    62.00    62.00     -1.000E+00     4.246E-04     2.298E-06     1.506E-24      3.735E-01      2.086E-01        4.172E-01       2.624E-04      8.732E+00
62.00    63.00    63.00     -1.000E+00     3.628E-05     2.225E-06     2.683E-23      9.966E-01      0.000E+00        0.000E+00       1.010E-03      1.812E+00
63.00    64.00    64.00     -1.000E+00     6.327E-05     2.156E-06     5.805E-23      0.000E+00      0.000E+00        0.000E+00       2.657E-01      5.799E-03
64.00    65.00    65.00     -1.000E+00     3.090E-04     2.090E-06     7.785E-24      0.000E+00      0.000E+00        0.000E+00       2.414E-01      5.613E-03
65.00    66.00    66.00     -1.000E+00     5.867E-04     2.027E-06     3.343E-24      0.000E+00      0.000E+00        0.000E+00       2.218E-01      5.472E-03
66.00    67.00    67.00     -1.000E+00     8.258E-04     1.967E-06     2.024E-24      0.000E+00      0.000E+00        0.000E+00       2.053E-01      5.358E-03
67.00    68.00    68.00     -1.000E+00     1.012E-03     1.910E-06     1.449E-24      0.000E+00      0.000E+00        0.000E+00       1.910E-01      5.263E-03
68.00    69.00    69.00     -1.000E+00     1.153E-03     1.855E-06     1.146E-24      0.000E+00      0.000E+00        0.000E+00       1.783E-01      5.182E-03
69.00    70.00    70.00     -1.000E+00     1.260E-03     1.802E-06     9.700E-25      0.000E+00      0.000E+00        0.000E+00       1.670E-01      5.111E-03
70.00    71.00    71.00     -1.000E+00     1.342E-03     1.752E-06     8.645E-25      0.000E+00      0.000E+00        0.000E+00       1.568E-01      5.049E-03
71.00    72.00    72.00     -1.000E+00     1.407E-03     1.703E-06     8.000E-25      0.000E+00      0.000E+00        0.000E+00       1.475E-01      4.995E-03
72.00    73.00    73.00     -1.000E+00     1.458E-03     1.657E-06     7.659E-25      0.000E+00      0.000E+00        0.000E+00       1.391E-01      4.946E-03
73.00    74.00    74.00     -1.000E+00     1.497E-03     1.612E-06     7.555E-25      0.000E+00      0.000E+00        0.000E+00       1.314E-01      4.902E-03
74.00    75.00    75.00     -1.000E+00     1.527E-03     1.570E-06     7.668E-25      0.000E+00      0.000E+00        0.000E+00       1.243E-01      4.862E-03
75.00    76.00    76.00     -1.000E+00     1.544E-03     1.529E-06     8.028E-25      0.000E+00      0.000E+00        0.000E+00       1.178E-01      4.826E-03
76.00    77.00    77.00     -1.000E+00     1.541E-03     1.489E-06     8.690E-25      0.000E+00      0.000E+00        0.000E+00       1.118E-01      4.794E-03
77.00    78.00    78.00     -1.000E+00     1.502E-03     1.451E-06     9.885E-25      0.000E+00      0.000E+00        0.000E+00       1.062E-01      4.764E-03
