 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
51.00    52.00    52.00     1.000E-02     9.078E-04     3.268E-10     2.487E-28      2.105E-01      7.872E-02        1.574E-01       1.021E-03      7.709E-03
52.00    53.00    53.00     1.000E-02     1.059E-03     3.146E-10     3.361E-28      1.978E-01      7.233E-02        1.447E-01       1.083E-03      7.289E-03
53.00    54.00    54.00     1.000E-02     1.206E-03     3.030E-10     4.346E-28      1.850E-01      6.605E-02        1.321E-01       1.146E-03      6.915E-03
54.00    55.00    55.00     1.000E-02     1.348E-03     2.921E-10     4.757E-28      1.721E-01      5.990E-02        1.198E-01       1.209E-03      6.581E-03
55.00    56.00    56.00     1.000E-02     1.486E-03     2.817E-10     4.802E-28      1.590E-01      5.384E-02        1.077E-01       1.272E-03      6.278E-03
56.00    57.00    57.00     1.000E-02     1.618E-03     2.719E-10     4.943E-28      1.458E-01      4.786E-02        9.572E-02       1.336E-03      6.003E-03
57.00    58.00    58.00     1.000E-02     1.742E-03     2.626E-10     4.927E-28      1.323E-01      4.189E-02        8.378E-02       1.401E-03      5.749E-03
58.00    59.00    59.00     1.000E-02     1.847E-03     2.538E-10     5.429E-28      1.183E-01      3.582E-02        7.164E-02       1.469E-03      5.510E-03
59.00    60.00    60.00     1.000E-02     1.903E-03     2.454E-10     6.547E-28      1.035E-01      2.945E-02        5.889E-02       1.540E-03      5.279E-03
60.00    61.00    61.00     1.000E-02     1.825E-03     2.374E-10     8.540E-28      8.729E-02      2.231E-02        4.461E-02       1.619E-03      5.044E-03
61.00    62.00    62.00     1.000E-02     1.454E-03     2.298E-10     1.323E-27      6.831E-02      1.275E-02        2.550E-02       1.718E-03      4.775E-03
62.00    63.00    63.00     1.000E-02     7.105E-04     2.225E-10     5.789E-27      4.062E-02      0.000E+00        0.000E+00       1.885E-03      4.447E-03
63.00    64.00    64.00     1.000E-02     2.455E-03     2.156E-10     1.735E-26      0.000E+00      0.000E+00        0.000E+00       1.995E-03      4.266E-03
64.00    65.00    65.00     1.000E-02     2.570E-03     2.090E-10     9.085E-27      0.000E+00      0.000E+00        0.000E+00       2.017E-03      4.266E-03
65.00    66.00    66.00     1.000E-02     2.679E-03     2.027E-10     9.612E-27      0.000E+00      0.000E+00        0.000E+00       2.035E-03      4.266E-03
66.00    67.00    67.00     1.000E-02     2.785E-03     1.967E-10     1.120E-26      0.000E+00      0.000E+00        0.000E+00       2.051E-03      4.266E-03
67.00    68.00    68.00     1.000E-02     2.890E-03     1.910E-10     1.339E-26      0.000E+00      0.000E+00        0.000E+00       2.065E-03      4.267E-03
68.00    69.00    69.00     1.000E-02     2.992E-03     1.855E-10     1.615E-26      0.000E+00      0.000E+00        0.000E+00       2.077E-03      4.267E-03
69.00    70.00    70.00     1.000E-02     3.092E-03     1.802E-10     1.961E-26      0.000E+00      0.000E+00        0.000E+00       2.088E-03      4.267E-03
70.00    71.00    71.00     1.000E-02     3.190E-03     1.752E-10     2.395E-26      0.000E+00      0.000E+00        0.000E+00       2.099E-03      4.267E-03
71.00    72.00    72.00     1.000E-02     3.286E-03     1.703E-10     2.943E-26      0.000E+00      0.000E+00        0.000E+00       2.108E-03      4.267E-03
72.00    73.00    73.00     1.000E-02     3.376E-03     1.657E-10     3.649E-26      0.000E+00      0.000E+00        0.000E+00       2.117E-03      4.267E-03
73.00    74.00    74.00     1.000E-02     3.461E-03     1.612E-10     4.568E-26      0.000E+00      0.000E+00        0.000E+00       2.125E-03      4.267E-03
