 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     1.000E-01     1.473E-02     7.367E-07     0.000E+00      3.329E-01      2.223E-01        4.447E-01       5.302E-07      8.234E+02
11.00    12.00    12.00     1.000E-01     1.214E-02     6.185E-07     0.000E+00      3.261E-01      2.246E-01        4.493E-01       6.138E-07      5.696E+02
12.00    13.00    13.00     1.000E-01     1.042E-02     5.266E-07     0.000E+00      3.204E-01      2.265E-01        4.530E-01       7.195E-07      4.056E+02
13.00    14.00    14.00     1.000E-01     9.217E-03     4.537E-07     0.000E+00      3.157E-01      2.281E-01        4.561E-01       8.489E-07      2.960E+02
14.00    15.00    15.00     1.000E-01     8.322E-03     3.950E-07     0.000E+00      3.118E-01      2.294E-01        4.587E-01       1.003E-06      2.206E+02
15.00    16.00    16.00     1.000E-01     7.625E-03     3.470E-07     0.000E+00      3.084E-01      2.305E-01        4.610E-01       1.183E-06      1.673E+02
16.00    17.00    17.00     1.000E-01     7.060E-03     3.072E-07     0.000E+00      3.055E-01      2.314E-01        4.629E-01       1.389E-06      1.289E+02
17.00    18.00    18.00     1.000E-01     6.580E-03     2.739E-07     0.000E+00      3.031E-01      2.323E-01        4.645E-01       1.623E-06      1.007E+02
18.00    19.00    19.00     1.000E-01     6.154E-03     2.458E-07     0.000E+00      3.009E-01      2.330E-01        4.660E-01       1.885E-06      7.964E+01
19.00    20.00    20.00     1.000E-01     5.760E-03     2.217E-07     0.000E+00      2.990E-01      2.336E-01        4.672E-01       2.176E-06      6.365E+01
20.00    21.00    21.00     1.000E-01     5.381E-03     2.011E-07     0.000E+00      2.974E-01      2.341E-01        4.683E-01       2.495E-06      5.136E+01
21.00    22.00    22.00     1.000E-01     5.008E-03     1.832E-07     0.000E+00      2.959E-01      2.346E-01        4.693E-01       2.843E-06      4.180E+01
22.00    23.00    23.00     1.000E-01     4.636E-03     1.675E-07     0.000E+00      2.946E-01      2.350E-01        4.701E-01       3.220E-06      3.429E+01
23.00    24.00    24.00     1.000E-01     4.255E-03     1.538E-07     0.000E+00      2.935E-01      2.354E-01        4.708E-01       3.626E-06      2.833E+01
24.00    25.00    25.00     1.000E-01     3.867E-03     1.417E-07     0.000E+00      2.925E-01      2.357E-01        4.715E-01       4.060E-06      2.355E+01
25.00    26.00    26.00     1.000E-01     3.472E-03     1.310E-07     0.000E+00      2.916E-01      2.360E-01        4.721E-01       4.522E-06      1.969E+01
26.00    27.00    27.00     1.000E-01     3.075E-03     1.215E-07     0.000E+00      2.908E-01      2.363E-01        4.726E-01       5.011E-06      1.656E+01
27.00    28.00    28.00     1.000E-01     2.680E-03     1.129E-07     0.000E+00      2.900E-01      2.365E-01        4.730E-01       5.527E-06      1.399E+01
28.00    29.00    29.00     1.000E-01     2.292E-03     1.053E-07     0.000E+00      2.894E-01      2.367E-01        4.734E-01       6.067E-06      1.188E+01
29.00    30.00    30.00     1.000E-01     1.917E-03     9.835E-08     0.000E+00      2.888E-01      2.369E-01        4.738E-01       6.632E-06      1.012E+01
30.00    31.00    31.00     1.000E-01     1.561E-03     9.209E-08     0.000E+00      2.883E-01      2.370E-01        4.740E-01       7.218E-06      8.660E+00
31.00    32.00    32.00     1.000E-01     1.229E-03     8.642E-08     0.000E+00      2.879E-01      2.372E-01        4.743E-01       7.824E-06      7.437E+00
32.00    33.00    33.00     1.000E-01     9.216E-04     8.125E-08     0.000E+00      2.875E-01      2.373E-01        4.745E-01       8.447E-06      6.408E+00
33.00    34.00    34.00     1.000E-01     6.452E-04     7.653E-08     2.618E-34      2.871E-01      2.373E-01        4.747E-01       9.085E-06      5.538E+00
34.00    35.00    35.00     1.000E-01     4.055E-04     7.221E-08     1.653E-33      2.868E-01      2.374E-01        4.748E-01       9.734E-06      4.801E+00
35.00    36.00    36.00     1.000E-01     2.206E-04     6.825E-08     1.578E-32      2.865E-01      2.375E-01        4.750E-01       1.039E-05      4.173E+00
36.00    37.00    37.00     1.000E-01     1.051E-04     6.461E-08     7.379E-32      2.862E-01      2.375E-01        4.750E-01       1.105E-05      3.637E+00
37.00    38.00    38.00     1.000E-01     4.494E-05     6.124E-08     1.666E-31      2.860E-01      2.376E-01        4.751E-01       1.171E-05      3.177E+00
38.00    39.00    39.00     1.000E-01     2.020E-05     5.814E-08     6.888E-31      2.857E-01      2.376E-01        4.751E-01       1.236E-05      2.781E+00
39.00    40.00    40.00     1.000E-01     1.545E-05     5.526E-08     1.709E-30      2.855E-01      2.376E-01        4.751E-01       1.301E-05      2.441E+00
40.00    41.00    41.00     1.000E-01     4.306E-05     5.260E-08     4.852E-30      2.854E-01      2.375E-01        4.751E-01       1.363E-05      2.146E+00
