 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
2550.00    2551.00    2551.00     1.260E+01     5.886E-03     2.151E-07      0.000E+00      0.000E+00        0.000E+00       2.021E-03      4.266E-03
2600.00    2601.00    2601.00     1.260E+01     6.136E-03     2.069E-07      0.000E+00      0.000E+00        0.000E+00       2.031E-03      4.266E-03
2650.00    2651.00    2651.00     1.260E+01     6.391E-03     1.992E-07      0.000E+00      0.000E+00        0.000E+00       2.040E-03      4.266E-03
2700.00    2701.00    2701.00     1.260E+01     6.650E-03     1.918E-07      0.000E+00      0.000E+00        0.000E+00       2.049E-03      4.266E-03
2750.00    2751.00    2751.00     1.260E+01     6.915E-03     1.849E-07      0.000E+00      0.000E+00        0.000E+00       2.057E-03      4.266E-03
2800.00    2801.00    2801.00     1.260E+01     7.184E-03     1.784E-07      0.000E+00      0.000E+00        0.000E+00       2.065E-03      4.267E-03
2850.00    2851.00    2851.00     1.260E+01     7.459E-03     1.722E-07      0.000E+00      0.000E+00        0.000E+00       2.072E-03      4.267E-03
2900.00    2901.00    2901.00     1.260E+01     7.738E-03     1.663E-07      0.000E+00      0.000E+00        0.000E+00       2.079E-03      4.267E-03
2950.00    2951.00    2951.00     1.260E+01     8.022E-03     1.607E-07      0.000E+00      0.000E+00        0.000E+00       2.086E-03      4.267E-03
3000.00    3001.00    3001.00     1.260E+01     8.311E-03     1.554E-07      0.000E+00      0.000E+00        0.000E+00       2.092E-03      4.267E-03
3050.00    3051.00    3051.00     1.260E+01     8.605E-03     1.504E-07      0.000E+00      0.000E+00        0.000E+00       2.099E-03      4.267E-03
3100.00    3101.00    3101.00     1.260E+01     8.904E-03     1.455E-07      0.000E+00      0.000E+00        0.000E+00       2.104E-03      4.267E-03
3150.00    3151.00    3151.00     1.260E+01     9.207E-03     1.410E-07      0.000E+00      0.000E+00        0.000E+00       2.110E-03      4.267E-03
3200.00    3201.00    3201.00     1.260E+01     9.516E-03     1.366E-07      0.000E+00      0.000E+00        0.000E+00       2.115E-03      4.267E-03
3250.00    3251.00    3251.00     1.260E+01     9.829E-03     1.324E-07      0.000E+00      0.000E+00        0.000E+00       2.120E-03      4.267E-03
3300.00    3301.00    3301.00     1.260E+01     1.015E-02     1.284E-07      0.000E+00      0.000E+00        0.000E+00       2.125E-03      4.267E-03
3350.00    3351.00    3351.00     1.260E+01     1.047E-02     1.246E-07      0.000E+00      0.000E+00        0.000E+00       2.130E-03      4.267E-03
3400.00    3401.00    3401.00     1.260E+01     1.080E-02     1.210E-07      0.000E+00      0.000E+00        0.000E+00       2.134E-03      4.267E-03
3450.00    3451.00    3451.00     1.260E+01     1.113E-02     1.175E-07      0.000E+00      0.000E+00        0.000E+00       2.139E-03      4.267E-03
3500.00    3501.00    3501.00     1.260E+01     1.147E-02     1.142E-07      0.000E+00      0.000E+00        0.000E+00       2.143E-03      4.267E-03
3550.00    3551.00    3551.00     1.260E+01     1.181E-02     1.110E-07      0.000E+00      0.000E+00        0.000E+00       2.147E-03      4.267E-03
3600.00    3601.00    3601.00     1.260E+01     1.216E-02     1.079E-07      0.000E+00      0.000E+00        0.000E+00       2.150E-03      4.267E-03
3650.00    3651.00    3651.00     1.260E+01     1.251E-02     1.050E-07      0.000E+00      0.000E+00        0.000E+00       2.154E-03      4.267E-03
3700.00    3701.00    3701.00     1.260E+01     1.287E-02     1.022E-07      0.000E+00      0.000E+00        0.000E+00       2.157E-03      4.267E-03
3750.00    3751.00    3751.00     1.260E+01     1.323E-02     9.947E-08      0.000E+00      0.000E+00        0.000E+00       2.161E-03      4.267E-03
3800.00    3801.00    3801.00     1.260E+01     1.360E-02     9.687E-08      0.000E+00      0.000E+00        0.000E+00       2.164E-03      4.267E-03
3850.00    3851.00    3851.00     1.260E+01     1.397E-02     9.437E-08      0.000E+00      0.000E+00        0.000E+00       2.167E-03      4.267E-03
3900.00    3901.00    3901.00     1.260E+01     1.435E-02     9.197E-08      0.000E+00      0.000E+00        0.000E+00       2.170E-03      4.267E-03
3950.00    3951.00    3951.00     1.260E+01     1.473E-02     8.966E-08      0.000E+00      0.000E+00        0.000E+00       2.173E-03      4.267E-03
4000.00    4001.00    4001.00     1.260E+01     1.512E-02     8.743E-08      0.000E+00      0.000E+00        0.000E+00       2.176E-03      4.267E-03
