Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
200.0    10.00       337.89          111.80             67.18             12.26
200.0    11.00       408.48          119.59             71.85             13.12
200.0    12.00       486.03          120.53             72.42             13.22
210.0    1.00       2.65          71.15             42.75             7.80
210.0    2.00       10.60          78.54             47.19             8.62
210.0    3.00       23.88          75.70             45.48             8.30
210.0    4.00       42.48          81.72             49.10             8.96
210.0    5.00       66.25          78.70             47.29             8.63
210.0    6.00       95.63          93.64             56.26             10.27
210.0    7.00       129.99          101.51             60.99             11.13
210.0    8.00       169.75          107.39             64.52             11.78
210.0    9.00       214.99          98.14             58.97             10.77
210.0    10.00       264.99          100.63             60.46             11.04
210.0    11.00       320.47          108.91             65.43             11.95
210.0    12.00       381.79          112.62             67.67             12.35
220.0    1.00       2.10          67.78             40.72             7.44
220.0    2.00       8.42          71.06             42.70             7.80
220.0    3.00       18.96          75.59             45.42             8.29
220.0    4.00       33.73          78.16             46.96             8.57
220.0    5.00       52.64          79.47             47.75             8.72
220.0    6.00       75.83          79.17             47.57             8.69
220.0    7.00       103.14          83.84             50.37             9.20
220.0    8.00       134.81          92.58             55.62             10.16
220.0    9.00       170.33          90.02             54.09             9.88
220.0    10.00       210.54          90.32             54.27             9.91
220.0    11.00       254.89          96.96             58.26             10.64
220.0    12.00       303.36          97.84             58.79             10.73
230.0    1.00       1.69          80.65             48.46             8.85
230.0    2.00       6.74          79.63             47.84             8.73
230.0    3.00       15.17          71.05             42.69             7.79
230.0    4.00       26.98          78.59             47.22             8.62
230.0    5.00       42.15          80.60             48.43             8.84
230.0    6.00       60.61          82.22             49.40             9.02
230.0    7.00       82.61          78.47             47.15             8.61
230.0    8.00       107.91          78.46             47.14             8.61
230.0    9.00       136.53          79.67             47.87             8.74
230.0    10.00       168.46          89.12             53.54             9.78
230.0    11.00       203.73          80.92             48.62             8.88
230.0    12.00       242.79          99.32             59.67             10.89
240.0    1.00       1.36          70.75             42.51             7.76
240.0    2.00       5.43          66.50             39.95             7.29
240.0    3.00       12.24          73.14             43.95             8.02
240.0    4.00       21.77          78.47             47.15             8.61
240.0    5.00       34.01          75.91             45.61             8.33
240.0    6.00       48.97          77.18             46.37             8.47
240.0    7.00       66.60          84.17             50.57             9.23
240.0    8.00       87.15          79.47             47.75             8.72
240.0    9.00       109.97          91.94             55.24             10.09
240.0    10.00       135.90          93.45             56.15             10.25
240.0    11.00       164.61          93.18             55.98             10.22
240.0    12.00       196.12          89.33             53.67             9.80
250.0    1.00       1.11          67.17             40.36             7.37
250.0    2.00       4.42          67.19             40.37             7.37
250.0    3.00       9.95          71.76             43.12             7.87
250.0    4.00       17.69          80.95             48.64             8.88
250.0    5.00       27.68          72.37             43.48             7.94
