 Mv1   lamL      cs_(fb)   
 945.0    1.0    5.0670E-04 
 950.0    1.0    4.8508E-04 
 955.0    1.0    4.6586E-04 
 960.0    1.0    4.4852E-04 
 965.0    1.0    4.3035E-04 
 970.0    1.0    4.1393E-04 
 975.0    1.0    3.9726E-04 
 980.0    1.0    3.8107E-04 
 985.0    1.0    3.6700E-04 
 990.0    1.0    3.5256E-04 
 995.0    1.0    3.3912E-04 
 1000.0    1.0    3.2555E-04 
