 Mh1   ld345      cs_(fb)   
 945.0    1.0    6.7971E-05 
 950.0    1.0    6.5598E-05 
 955.0    1.0    6.3198E-05 
 960.0    1.0    6.0955E-05 
 965.0    1.0    5.8734E-05 
 970.0    1.0    5.6668E-05 
 975.0    1.0    5.4704E-05 
 980.0    1.0    5.2702E-05 
 985.0    1.0    5.0856E-05 
 990.0    1.0    4.9062E-05 
 995.0    1.0    4.7332E-05 
 1000.0    1.0    4.5542E-05 
