 Mh1   Mh2    ld345      cs_(fb)   
 785.0    786.0    1.0     8.4006E-05 
 790.0    791.0    1.0     8.2156E-05 
 795.0    796.0    1.0     8.0178E-05 
 800.0    801.0    1.0     7.8330E-05 
 805.0    806.0    1.0     7.6543E-05 
 810.0    811.0    1.0     7.4886E-05 
 815.0    816.0    1.0     7.3185E-05 
 820.0    821.0    1.0     7.1539E-05 
 825.0    826.0    1.0     7.0000E-05 
 830.0    831.0    1.0     6.8469E-05 
 835.0    836.0    1.0     6.6911E-05 
 840.0    841.0    1.0     6.5469E-05 
 845.0    846.0    1.0     6.4078E-05 
 850.0    851.0    1.0     6.2678E-05 
 855.0    856.0    1.0     6.1305E-05 
 860.0    861.0    1.0     6.0013E-05 
 865.0    866.0    1.0     5.8773E-05 
 870.0    871.0    1.0     5.7546E-05 
 875.0    876.0    1.0     5.6309E-05 
 880.0    881.0    1.0     5.5106E-05 
 885.0    886.0    1.0     5.3931E-05 
 890.0    891.0    1.0     5.2834E-05 
 895.0    896.0    1.0     5.1697E-05 
 900.0    901.0    1.0     5.0640E-05 
 905.0    906.0    1.0     4.9608E-05 
 910.0    911.0    1.0     4.8581E-05 
 915.0    916.0    1.0     4.7577E-05 
 920.0    921.0    1.0     4.6606E-05 
 925.0    926.0    1.0     4.5650E-05 
 930.0    931.0    1.0     4.4637E-05 
 935.0    936.0    1.0     4.3795E-05 
 940.0    941.0    1.0     4.2823E-05 
 945.0    946.0    1.0     4.1928E-05 
 950.0    951.0    1.0     4.1103E-05 
 955.0    956.0    1.0     4.0213E-05 
 960.0    961.0    1.0     3.9380E-05 
 965.0    966.0    1.0     3.8560E-05 
 970.0    971.0    1.0     3.7840E-05 
 975.0    976.0    1.0     3.6996E-05 
 980.0    981.0    1.0     3.6236E-05 
 985.0    986.0    1.0     3.5459E-05 
 990.0    991.0    1.0     3.4779E-05 
 995.0    996.0    1.0     3.4043E-05 
 1000.0    1001.0    1.0     3.3355E-05 
