 Mh1   ld345      cs_(fb)   
 945.0    1.0    1.8955E-05 
 950.0    1.0    1.8275E-05 
 955.0    1.0    1.7647E-05 
 960.0    1.0    1.7033E-05 
 965.0    1.0    1.6443E-05 
 970.0    1.0    1.5872E-05 
 975.0    1.0    1.5330E-05 
 980.0    1.0    1.4806E-05 
 985.0    1.0    1.4294E-05 
 990.0    1.0    1.3817E-05 
 995.0    1.0    1.3339E-05 
 1000.0    1.0    1.2891E-05 
