 Mv1   lamL      cs_(fb)   
 945.0    1.0    1.2924E-04 
 950.0    1.0    1.2431E-04 
 955.0    1.0    1.1947E-04 
 960.0    1.0    1.1478E-04 
 965.0    1.0    1.1045E-04 
 970.0    1.0    1.0622E-04 
 975.0    1.0    1.0219E-04 
 980.0    1.0    9.8288E-05 
 985.0    1.0    9.4415E-05 
 990.0    1.0    9.0927E-05 
 995.0    1.0    8.7481E-05 
 1000.0    1.0    8.4099E-05 
