 Mv1   Mv2      cs_(fb)   
 945.0    946.0    1.5577E-01 
 950.0    951.0    1.5070E-01 
 955.0    956.0    1.4539E-01 
 960.0    961.0    1.4043E-01 
 965.0    966.0    1.3577E-01 
 970.0    971.0    1.3107E-01 
 975.0    976.0    1.2665E-01 
 980.0    981.0    1.2219E-01 
 985.0    986.0    1.1805E-01 
 990.0    991.0    1.1423E-01 
 995.0    996.0    1.1034E-01 
 1000.0    1001.0    1.0663E-01 
